Variável;Descrição
IBGE;Código IBGE do Município
IBGE7;Código do IBGE (7 dígitos)
UF;UF
uf_s;UF
Nome_UF;UF
Região;Grande Região
Município;Município
Criado2012;Municípios criados em 2012
Area;Área Territorial do município (Km2) - 2010
Capital;
RM;Municípios localizados em regiões metropolitanas_2010
Qual_RM;Classificação da região metropolitana_2010
Nome_RM;Nome da região metropolitana_2010
amazonia_legal;Municípios que pertencem à região da Amazônia Legal_2014
Semi_arido;Municipios do semi-árido brasileiro_2007
fronteira_internacional;Municípios que tocam a  fronteira internacional_2010
costa_litoranea;Municípios que tocam a  costa litorânea_2010
Cod_RegiaoRural;Municípios classificados em Regiões Rurais - código_2015
Nome_RegiaoRural;Municípios classificados em Regiões Rurais - nome_2015
Mesorregião;Mesorregião (código)_2010
Nome_Mesorregião;Mesorregião (nome)_2010
Pop_Total2010_MESO;População Total (mesorregião)_2010
Microrregião;Microrregião (código)_2010
Nome_Microrregião;Microrregião (nome)_2010
Pop_Total2010_MICRO;População Total (microrregião)_2010
Pop_total_2010;Pop_total_2010_População total - Censo 2010
Pop_Urbana2010;População urbana - Censo 2010
Pop_Rural2010;População rural - Censo 2010
Porte_pop2010;Porte SUAS_população 2010
Estimativa_PerfilCadÚnico_Censo2010;Estimativa de Famílias de baixa renda - Perfil Cadastro Único (Censo 2010) - Estimativa de Famílias de baixa renda
Estimativa_PerfilBolsaFamília_Censo2010;Estimativa de famílias pobres - Perfil Bolsa Família (CENSO 2010) - Estimativa de famílias pobres - Perfil Bolsa Família (CENSO 2010)
NU_IDENTIFICADOR;Número Identificador do CRAS no CadSUAS
incompletos;Percentual de Preenchimento do Questionário
ident_1;ident_1_Nome que identifica a unidade:
ident_2;ident_2_Selecione o Tipo de Logradouro (avenida, rua, etc):
ident_3;ident_3_Endereço:
ident_4;ident_4_Número:
ident_5;ident_5_Complemento:
ident_6;ident_6_Bairro:
ident_7;ident_7_CEP:
ident_8;ident_8_Município:
ident_9;ident_9_UF:
ident_11;ident_11_DDD ? Telefone:
ident_12;ident_12_Ramal:
ident_13;ident_13_Fax:
ident_14;ident_14_Data de Implantação desta Unidade:
Latitude;Latitude_Latitude:
Longitude;Longitude_Longitude:
q1;q1_Dados provenientes da gestão estadual ou municipal
q2_1;q2_1_Público atendido_Criança/Adolescentes com deficiência e com algum grau de dependência
q2_2;q2_2_Público atendido_Adultos com deficiência e com algum grau de dependência
q2_3;q2_3_Público atendido_Idosos com deficiência
q2_4;q2_4_Público atendido_Idosos com algum grau de dependência (sem deficiência)
q3;q3_Onde o Serviço é executado?
q4_1;q4_1_Horário de funcionamento: dias por semana
q4_2;q4_2_Horário de funcionamento: horas por dia
q5;q5_Considerando as atividades realizadas por esta Unidade no atendimento às pessoas com deficiência e/ou idosas com dependência, você diria que o Serviço prestado pela Unidade:
q6;q6_Indique a Natureza desta Unidade:
q8;q8_Esta Unidade faz parte de alguma rede/federação nacional ou estadual de entidades de defesa e apoio às pessoas com deficiência e suas famílias?
q9;q9_Caso sim, informe qual
q9_Qual;q9_Qual_Qual?
q10;q10_A entidade recebe recursos financeiros do poder público visando à manutenção do Serviço?
