NU_IDENTIFICADOR;IBGE;IBGE7;Região;UF;Municipio;Pop_Total2010;Porte_pop2010;co_seq_dirigente;q39_2;q39_3;q39_6;q39_7;q39_8;q39_9;q39_10;q39_11;q39_12_1;q39_12_2;q39_12_3;D39_2;D39_2categoria;D39_6;D39_8;D39_6bin1;D39_6bin2;D39_6bin3;D39_8bin1;D39_8bin2;D39_8bin3;D39_8bin4;D39_7bin1;D39_7bin2;D39_7bin3;D39_7bin4;D39_7bin5
43092096164;430920;4309209;Região Sul;RS;Gravataí;255660;Grande;567652;6/3/1983;M;Superior Completo;Cientista político;Servidor Estatutário;Educador(a) Social;30 horas semanais;7/31/2015;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social;Outros;32;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
13549803417;354980;3549805;Região Sudeste;SP;São José do Rio Preto;408258;Grande;671255;12/28/1977;M;Superior Completo;Cientista político;Servidor Estatutário;Técnico(a) de nível médio;40 horas semanais;7/7/2014;Serviço Especializado para Pessoas em Situação de Rua;Serviço de Abordagem Social;Outros;38;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
35221098125;352210;3522109;Região Sudeste;SP;Itanhaém;87057;Médio;1079911;2/1/1992;F;Superior Completo;Enfermeiro;Trabalhador de Empresa/Cooperativa/Entidade Prestadora de Serviços;Educador(a) Social;Maior que 40 horas semanais;2/10/2015;Serviço de Abordagem Social; ; ;23;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
29180098080;291800;2918001;Região Nordeste;BA;Jequié;151895;Grande;1049627;3/27/1989;F;Superior Completo;Enfermeiro;Empregado Público (CLT);Técnico de nível superior;Menor que 20 horas semanais;7/30/2015;Serviço Especializado para Pessoas em Situação de Rua; ;Serviço de Abordagem Social;26;Até 29 anos;Nível Superior;Empregado Público (CLT); ; ;Nível Superior; ;Empregado Público (CLT); ; ; ; ; ; ; 
26116097090;261160;2611606;Região Nordeste;PE;Recife;1537704;Metrópole;738542;9/19/1988;F;Médio Completo;Enfermeiro;Servidor Estatutário;Educador(a) Social;40 horas semanais;7/26/2010;Serviço de Abordagem Social; ; ;27;Até 29 anos;Nível Médio;Servidor Estatutário; ;Nível Médio; ;Servidor Estatutário; ; ; ; ; ; ; ; 
33010096432;330100;3301009;Região Sudeste;RJ;Campos dos Goytacazes;463731;Grande;728039;8/11/1985;M;Superior Completo;Enfermeiro;Outro vínculo não permanente;Educador(a) Social;40 horas semanais;6/1/2015;Serviço de Abordagem Social;Cadastramento e/ou Revisão/Atualização Cadastral (CadÚnico);Outros;30;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
33004597942;330045;3300456;Região Sudeste;RJ;Belford Roxo;469332;Grande;728355;2/28/1982;F;Superior Completo;Enfermeiro;Comissionado;Coordenador(a);Maior que 40 horas semanais;5/13/2014;Atividades de gestão (administrativo);Serviço Especializado para Pessoas em Situação de Rua;Outros;33;De 30 a 39 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ;Comissionado; ; ; ; ; ; 
35541097994;355410;3554102;Região Sudeste;SP;Taubaté;278686;Grande;1066798;10/20/1979;F;Superior Completo;Enfermeiro;Servidor Temporário;Educador(a) Social;40 horas semanais;7/1/2015;Atividades de gestão (administrativo);Serviço Especializado para Pessoas em Situação de Rua; ;36;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
42014098079;420140;4201406;Região Sul;SC;Araranguá;61310;Médio;1048784;8/24/1970;M;Superior Completo;Enfermeiro;Servidor Temporário;Outros;40 horas semanais;8/1/2015;Serviço de Abordagem Social;Serviço Especializado para Pessoas em Situação de Rua; ;45;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
29136097900;291360;2913606;Região Nordeste;BA;Ilhéus;184236;Grande;1092145;2/24/1988;F;Especialização;Nutricionista;Servidor Temporário;Educador(a) Social;40 horas semanais;2/2/2014;Serviço Especializado para Pessoas em Situação de Rua;Outros; ;27;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
41069097826;410690;4106902;Região Sul;PR;Curitiba;1751907;Metrópole;875763;9/12/1981;F;Superior Completo;Nutricionista;Servidor Estatutário;Educador(a) Social;40 horas semanais;1/9/2014;Serviço Especializado para Pessoas em Situação de Rua; ; ;34;De 30 a 39 anos;Nível Superior;Servidor Estatutário; ; ;Nível Superior;Servidor Estatutário; ; ; ; ; ; ; ; 
13205303522;320530;3205309;Região Sudeste;ES;Vitória;327801;Grande;843439;3/1/1973;F;Superior Completo;Nutricionista;Terceirizado;Técnico de nível superior;40 horas semanais;8/1/2013;Serviço Especializado para Pessoas em Situação de Rua;Outros; ;42;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
25137098090;251370;2513703;Região Nordeste;PB;Santa Rita;120310;Grande;1102373;1/8/1968;F;Especialização;Nutricionista;Servidor Temporário;Técnico de nível superior;40 horas semanais;10/5/2015;Serviço Especializado para Pessoas em Situação de Rua; ; ;47;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
31186095970;311860;3118601;Região Sudeste;MG;Contagem;603442;Grande;555566;10/4/1967;F;Superior Incompleto;Nutricionista;Empregado Público (CLT);Educador(a) Social;40 horas semanais;3/2/2015;Serviço de Abordagem Social; ; ;48;De 40 a 49 anos;Nível Médio;Empregado Público (CLT); ;Nível Médio; ; ;Empregado Público (CLT); ; ; ; ; ; ; 
28003095452;280030;2800308;Região Nordeste;SE;Aracaju;571149;Grande;945152;3/6/1922;F;Superior Incompleto;Fisioterapeuta;Comissionado;Apoio administrativo;40 horas semanais;6/9/2014;Atividades de gestão (administrativo); ; ;93; ;Nível Médio;Comissionado; ;Nível Médio; ; ; ;Comissionado; ; ; ; ; ; 
22110095894;221100;2211001;Região Nordeste;PI;Teresina;814230;Grande;676588;9/2/1990;M;Superior Completo;Fisioterapeuta;Terceirizado;Educador(a) Social;30 horas semanais;9/1/2014;Serviço Especializado para Pessoas em Situação de Rua; ;Outros;25;Até 29 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
52014096138;520140;5201405;Região Centro-Oeste;GO;Aparecida de Goiânia;455657;Grande;993700;12/22/1983;F;Especialização;Fisioterapeuta;Servidor Temporário;Educador(a) Social;30 horas semanais;7/17/2014;Outros; ; ;32;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
27043097166;270430;2704302;Região Nordeste;AL;Maceió;932748;Metrópole;789856;5/23/1983;F;Especialização;Fisioterapeuta;Comissionado;Técnico de nível superior;40 horas semanais;7/1/2014;Serviço Especializado para Pessoas em Situação de Rua; ; ;32;De 30 a 39 anos;Nível Superior;Comissionado; ; ;Nível Superior; ; ;Comissionado; ; ; ; ; ; 
29274097960;292740;2927408;Região Nordeste;BA;Salvador;2675656;Metrópole;1052853;5/20/1971;F;Superior Completo;Fisioterapeuta;Servidor Temporário;Apoio administrativo;40 horas semanais;2/27/2015;Atividades de gestão (administrativo); ; ;44;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes; ; ;Nível Superior; ; ; ;Outros vínculos não permanentes; ; ; ; ; 
