Variável;Descrição
UF;Unidade da Federação
IBGE;Código IBGE
Região;Grande Região
Pop_Total2010;População Censo IBGE 2010
Quant_municipios;Quantidade de Municípios
q63_3;q63_3_Sexo
q63_4;q63_4_Escolaridade
q63_5;q63_5_Representação
q63_6;q63_6_Função
q63_7;q63_7_Vínculo
q63_8;q63_8_Data de Início do mandato
q63_9;q63_9_Data de término do mandato
D63_2;D63_2_Idade em anos (data ref. 31-12-2015)
D63_2_categoria;D63_2_categoria_Idade (faixas etárias)
D63_4;D63_4_Níveis de escolaridade
D63_4bin1;D63_4bin1_Nível fundamental - trabalhadores que possuem até o nível médio (inclui aqueles sem escolaridade)
D63_4bin2;D63_4bin2_Nível médio - trabalhadores com ensino superior incompleto e ensino médio completo
D63_4bin3;D63_4bin3_Nível superior - inclui trabalhadores graduados, com especialização, mestrado ou doutorado
D63_5bin1;D63_5bin1_Representante de usuários e organização de usuários
D63_5bin2;D63_5bin2_Representante de Entidades de Assistência Social
D63_5bin3;D63_5bin3_Representante de organização dos trabalhadores
D63_5bin4;D63_5bin4_Representante do Governo
D63_5bin1_TIT;D63_5bin1_TIT_Representante Titular de usuários e organização de usuários
D63_5bin1_SUPL;D63_5bin1_SUPL_Representante Suplente de usuários e organização de usuários
D63_5bin2_TIT;D63_5bin2_TIT_Representante Titular de Entidades de Assistência Social
D63_5bin2_SUPL;D63_5bin2_SUPL_Representante Suplente de Entidades de Assistência Social
D63_5bin3_TIT;D63_5bin3_TIT_Representante Titular de organização dos trabalhadores
D63_5bin3_SUPL;D63_5bin3_SUPL_Representante Suplente de organização dos trabalhadores
D63_5bin4_TIT;D63_5bin4_TIT_Representante Titular do Governo
D63_5bin4_SUPL;D63_5bin4_SUPL_Representante Suplente do Governo
