UF;IBGE;Região;Pop_Total2010;Quant_municipios;q63_3;q63_4;q63_5;q63_6;q63_7;q63_8;q63_9;D63_2;D63_2_categoria;D63_4;D63_4bin1;D63_4bin2;D63_4bin3;D63_5bin1;D63_5bin2;D63_5bin3;D63_5bin4;D63_5bin1_TIT;D63_5bin1_SUPL;D63_5bin2_TIT;D63_5bin2_SUPL;D63_5bin3_TIT;D63_5bin3_SUPL;D63_5bin4_TIT;D63_5bin4_SUPL
DF;DF;Centro-Oeste;2570160;1;F;Especialização;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Sem vínculo;6/18/2015;6/18/2018;115; ;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
BA;BA;Nordeste;14016906;417;F;Médio Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Vice-Presidente;Sem vínculo;05/06/2014;05/06/2016;80;50 anos ou mais;Nível Médio; ;Nível Médio; ; ;1; ; ; ; ;1; ; ; ; ; 
MA;MA;Nordeste;6574789;217;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Servidor Temporário;05/05/2015;05/05/2017;78;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
SP;SP;Sudeste;41262199;645;M;Médio Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Servidor/Estatutário;5/24/2013;3/31/2016;78;50 anos ou mais;Nível Médio; ;Nível Médio; ; ;1; ; ; ; ; ;1; ; ; ; 
MG;MG;Sudeste;19597330;853;M;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Sem vínculo;11/10/2015;11/10/2017;77;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
RJ;RJ;Sudeste;15989929;92;M;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;10/30/2014;10/30/2016;77;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
BA;BA;Nordeste;14016906;417;F;Superior Completo;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Sem vínculo;05/06/2014;05/06/2016;75;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
RJ;RJ;Sudeste;15989929;92;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;10/30/2014;11/30/2016;75;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
PA;PA;Norte;7581051;144;F;Mestrado;Sociedade Cívil - organizações de usuários;Conselheiro(a) Presidente;Sem vínculo;5/29/2015;5/29/2017;73;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
CE;CE;Nordeste;8452381;184;M;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Outro vínculo não permanente;6/27/2014;6/27/2016;72;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ;1; ; ; ; ; ; ; 
SP;SP;Sudeste;41262199;645;F;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Servidor/Estatutário;05/07/2013;3/31/2016;72;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
PR;PR;Sul;10444526;399;M;Superior Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;6/26/2014;6/26/2016;72;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
RS;RS;Sul;10693929;497;M;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Suplente;Sem vínculo;11/05/2014;11/04/2016;72;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ; ;1; ; ; ; ; ; 
GO;GO;Centro-Oeste;6003788;246;F;Superior Incompleto;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;01/01/2013;12/31/2015;72;50 anos ou mais;Nível Médio; ;Nível Médio; ; ;1; ; ; ; ; ;1; ; ; ; 
MA;MA;Nordeste;6574789;217;F;Superior Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Servidor Temporário;05/05/2015;05/05/2017;71;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
MA;MA;Nordeste;6574789;217;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Servidor/Estatutário;05/05/2015;05/05/2017;71;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
SP;SP;Sudeste;41262199;645;F;Fundamental Completo;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Trabalhador de empresa/Cooperativa/Entidade Prestadora de Serviço;5/24/2013;3/31/2016;71;50 anos ou mais;Nível fundamental;Nível fundamental; ; ;1; ; ; ;1; ; ; ; ; ; ; 
ES;ES;Sudeste;3514952;78;F;Médio Completo;Sociedade Cívil - organizações de usuários;Conselheiro Suplente;Sem vínculo;06/10/2013;11/23/2015;71;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ; ;1; ; ; ; ; ; 
PR;PR;Sul;10444526;399;F;Médio Completo;Sociedade Cívil - dos usuários;Conselheiro Suplente;Outro vínculo não permanente;6/26/2014;6/26/2016;71;50 anos ou mais;Nível Médio; ;Nível Médio; ;1; ; ; ; ;1; ; ; ; ; ; 
AM;AM;Norte;3483985;62;M;Especialização;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Voluntario;06/03/2015;12/31/2018;70;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
MT;MT;Centro-Oeste;3035122;141;M;Superior Completo;Sociedade Cívil - organizações de usuários;Conselheiro Suplente;Voluntario;5/15/2015;5/15/2017;70;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ; ;1; ; ; ; ; ; 
RO;RO;Norte;1562409;52;F;Especialização;Sociedade Cívil - organizações de usuários;Conselheiro Titular;Sem vínculo;9/24/2014;9/24/2016;69;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
PA;PA;Norte;7581051;144;M;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Servidor/Estatutário;5/29/2015;5/29/2017;69;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
PE;PE;Nordeste;8796448;185;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Voluntario;11/10/2014;11/10/2016;69;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
SE;SE;Nordeste;2068017;75;M;Fundamental Incompleto;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;12/04/2014;12/04/2016;69;50 anos ou mais;Nível fundamental;Nível fundamental; ; ;1; ; ; ;1; ; ; ; ; ; ; 
SP;SP;Sudeste;41262199;645;M;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Servidor/Estatutário;10/20/2015;03/01/2018;69;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
DF;DF;Centro-Oeste;2570160;1;M;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Suplente;Sem vínculo;6/18/2015;6/18/2018;69;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ; ;1; ; ; ; 
PE;PE;Nordeste;8796448;185;F;Superior Completo;Governamental – Outras áreas;Conselheiro Titular;Servidor Temporário;11/10/2014;11/10/2016;68;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
RJ;RJ;Sudeste;15989929;92;F;Superior Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;10/30/2014;10/30/2016;68;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
PR;PR;Sul;10444526;399;F;Superior Completo;Sociedade Cívil - dos usuários;Conselheiro Titular;Sem vínculo;6/26/2014;6/26/2016;68;50 anos ou mais;Nível Superior; ; ;Nível Superior;1; ; ; ;1; ; ; ; ; ; ; 
MT;MT;Centro-Oeste;3035122;141;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Conselheiro Titular;Voluntario;5/15/2015;5/15/2017;68;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
CE;CE;Nordeste;8452381;184;F;Especialização;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Suplente;Outro vínculo não permanente;6/27/2014;6/27/2016;68;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ; ;1; ; 
PR;PR;Sul;10444526;399;M;Superior Completo;Governamental - Assistência Social;Conselheiro Suplente;Empregado Público Celetista – CLT;6/26/2014;6/26/2016;68;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
RJ;RJ;Sudeste;15989929;92;F;Superior Completo;Governamental - Assistência Social;Conselheiro(a) Presidente;Comissionado;3/13/2015;10/30/2016;67;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
AM;AM;Norte;3483985;62;F;Superior Completo;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Titular;Voluntario;06/03/2015;12/31/2018;67;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ;1; ; ; 
RN;RN;Nordeste;3168027;167;F;Doutorado;Governamental - Assistência Social;Conselheiro Titular;Servidor/Estatutário;8/19/2015;8/19/2017;67;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
AL;AL;Nordeste;3120494;102;M;Superior Completo;Sociedade Cívil - organizações dos trabalhadores;Conselheiro Titular;Sem vínculo;3/19/2015;3/19/2017;67;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ;1; ; ; ; ; ;1; ; ; 
BA;BA;Nordeste;14016906;417;M;Superior Completo;Governamental – Educação;Conselheiro Titular;Servidor/Estatutário;01/01/2015;12/31/2018;67;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ;1; 
AM;AM;Norte;3483985;62;F;Especialização;Governamental – Educação;Conselheiro Suplente;Servidor/Estatutário;06/03/2015;12/31/2018;67;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
RO;RO;Norte;1562409;52;F;Superior Completo;Sociedade Cívil - das entidade e Organizações de Ass. Social;Vice-Presidente;Voluntario;9/24/2014;9/24/2016;66;50 anos ou mais;Nível Superior; ; ;Nível Superior; ;1; ; ; ; ;1; ; ; ; ; 
CE;CE;Nordeste;8452381;184;M;Fundamental Completo;Sociedade Cívil - dos usuários;Conselheiro Suplente;Outro vínculo não permanente;6/27/2014;6/27/2016;66;50 anos ou mais;Nível fundamental;Nível fundamental; ; ;1; ; ; ; ;1; ; ; ; ; ; 
RN;RN;Nordeste;3168027;167;M;Superior Completo;Governamental – Educação;Conselheiro Suplente;Servidor/Estatutário;8/19/2015;8/19/2017;66;50 anos ou mais;Nível Superior; ; ;Nível Superior; ; ; ;1; ; ; ; ; ; ; ;1
