id_acolhimento;IBGE_sede;Região_sede;UF_sede;Municipio_sede;area_sede;Pop_Total2010_sede;Porte_pop2010_sede;q10_IBGE7;q10_IBGE;q10_UF;q10;q10_velha;q10_area;q10_Pop_Total2010;q10_Pop_Urbana2010;q10_Pop_Rural2010;q10_Porte_pop2010
4219703302802;421970;Região Sul;SC;Xaxim;294,72;25713;Pequeno II;4210555;421055;SC;Marema;Marema;103,62;2203;760;1443;Pequeno I
4219703302802;421970;Região Sul;SC;Xaxim;294,72;25713;Pequeno II;4209458;420945;SC;Lajeado Grande;Lajeado Grande;65,93;1490;648;842;Pequeno I
4219703302802;421970;Região Sul;SC;Xaxim;294,72;25713;Pequeno II;4205175;420517;SC;Entre Rios;Entre Rios;105,17;3018;928;2090;Pequeno I
2933503301669;293350;Região Nordeste;BA;Wenceslau Guimarães;661,79;22189;Pequeno II;2911204;291120;BA;Gandu;GANDÚ;229,12;30336;24848;5488;Pequeno II
4128503305981;412850;Região Sul;PR;Wenceslau Braz;397,92;19298;Pequeno I;4125407;412540;PR;São José da Boa Vista;São José da Boa Vista;399,67;6511;3864;2647;Pequeno I
4128503305981;412850;Região Sul;PR;Wenceslau Braz;397,92;19298;Pequeno I;4124004;412400;PR;Santana do Itararé;Santana do Itararé;251,27;5249;3456;1793;Pequeno I
2616403301054;261640;Região Nordeste;PE;Vitória de Santo Antão;371,8;129974;Grande;2611309;261130;PE;Pombos;POMBOS;207,66;24046;16011;8035;Pequeno II
2616403301054;261640;Região Nordeste;PE;Vitória de Santo Antão;371,8;129974;Grande;2607901;260790;PE;Jaboatão dos Guararapes;JABOATÃO DOS GUARARAPES;256,07;644620;630595;14025;Grande
3171603305826;317160;Região Sudeste;MG;Virgem da Lapa;871,89;13619;Pequeno I;3156502;315650;MG;Rubelita;Rubelita;1109,23;7772;2516;5256;Pequeno I
3171603305826;317160;Região Sudeste;MG;Virgem da Lapa;871,89;13619;Pequeno I;3135456;313545;MG;Jenipapo de Minas;Jenipapo de Minas;284,86;7116;2883;4233;Pequeno I
3171603305826;317160;Região Sudeste;MG;Virgem da Lapa;871,89;13619;Pequeno I;3119500;311950;MG;Coronel Murta;Coronel Murta;813,85;9117;6693;2424;Pequeno I
3171603305826;317160;Região Sudeste;MG;Virgem da Lapa;871,89;13619;Pequeno I;3106507;310650;MG;Berilo;Berilo;586,75;12300;3888;8412;Pequeno I
3171603305826;317160;Região Sudeste;MG;Virgem da Lapa;871,89;13619;Pequeno I;3103405;310340;MG;Araçuaí;Araçuai;2235,7;36013;23435;12578;Pequeno II
4219303302264;421930;Região Sul;SC;Videira;377,85;47188;Pequeno II;4215406;421540;SC;Salto Veloso;Salto Veloso;105,04;4301;3402;899;Pequeno I
4219303302264;421930;Região Sul;SC;Videira;377,85;47188;Pequeno II;4207577;420757;SC;Iomerê;Iomerê;114,74;2739;907;1832;Pequeno I
4219303302264;421930;Região Sul;SC;Videira;377,85;47188;Pequeno II;4201604;420160;SC;Arroio Trinta;Arroio Trinta;94,33;3502;2397;1105;Pequeno I
4219303306097;421930;Região Sul;SC;Videira;377,85;47188;Pequeno II;4215406;421540;SC;Salto Veloso;Salto Veloso;105,04;4301;3402;899;Pequeno I
4219303306097;421930;Região Sul;SC;Videira;377,85;47188;Pequeno II;4207577;420757;SC;Iomerê;Iomerê;114,74;2739;907;1832;Pequeno I
4219303306097;421930;Região Sul;SC;Videira;377,85;47188;Pequeno II;4201604;420160;SC;Arroio Trinta;Arroio Trinta;94,33;3502;2397;1105;Pequeno I
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4219200;421920;SC;Vidal Ramos;VIDAL RAMOS;339,07;6290;1792;4498;Pequeno I
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4212700;421270;SC;Petrolândia;PETROLANDIA;306,15;6131;2225;3906;Pequeno I
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4209805;420980;SC;Leoberto Leal;LEOBERTO LEAL;291,19;3365;820;2545;Pequeno I
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4208500;420850;SC;Ituporanga;ITUPORANGA;336,96;22250;14832;7418;Pequeno II
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4207403;420740;SC;Imbuia;IMBUIA;121,89;5707;2515;3192;Pequeno I
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4204194;420419;SC;Chapadão do Lageado;CHAPADAO DO LAGEADO;124,47;2762;513;2249;Pequeno I
4219203303972;421920;Região Sul;SC;Vidal Ramos;339,07;6290;Pequeno I;4201802;420180;SC;Atalanta;ATALANTA;94,53;3300;1368;1932;Pequeno I
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3171303;317130;MG;Viçosa;Viçosa;299,4;72220;67305;4915;Médio
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3168507;316850;MG;Teixeiras;Teixeiras;166,52;11355;7623;3732;Pequeno I
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3163805;316380;MG;São Miguel do Anta;São Miguel do Anta;152,28;6760;3746;3014;Pequeno I
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3148301;314830;MG;Paula Cândido;Paula Candido;268,74;9271;4936;4335;Pequeno I
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3116704;311670;MG;Coimbra;Coimbra;106,83;7054;5156;1898;Pequeno I
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3111705;311170;MG;Canaã;Canaa;175,07;4628;1859;2769;Pequeno I
3171303301565;317130;Região Sudeste;MG;Viçosa;299,4;72220;Médio;3110202;311020;MG;Cajuri;Cajuri;83,37;4047;2096;1951;Pequeno I
3171003305091;317100;Região Sudeste;MG;Vazante;1903,07;19723;Pequeno I;3137106;313710;MG;Lagamar;LAGAMAr;1472,74;7600;5128;2472;Pequeno I
3171003305091;317100;Região Sudeste;MG;Vazante;1903,07;19723;Pequeno I;3128600;312860;MG;Guarda-Mor;GUARDA MOR;2065,59;6565;3688;2877;Pequeno I
3556503302585;355650;Região Sudeste;SP;Várzea Paulista;34,63;107089;Grande;3524006;352400;SP;Itupeva;Itupeva;200,52;44859;38955;5904;Pequeno II
5108403305147;510840;Região Centro-Oeste;MT;Várzea Grande;938,06;252596;Grande;5108402;510840;MT;Várzea Grande;Várzea Grande;938,06;252596;248704;3892;Grande
5108403305147;510840;Região Centro-Oeste;MT;Várzea Grande;938,06;252596;Grande;5106109;510610;MT;Nossa Senhora do Livramento;Nossa Senhora do LIvramento;5192,57;11609;4242;7367;Pequeno I
3170803305265;317080;Região Sudeste;MG;Várzea da Palma;2195,65;35809;Pequeno II;3138104;313810;MG;Lassance;LASSANCE;3213,58;6484;3882;2602;Pequeno I
4322503305875;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4314464;431446;RS;Pinhal da Serra;PINHAL DA SERRA;434,05;2130;478;1652;Pequeno I
4322503305875;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4312617;431261;RS;Muitos Capões;MUITOS CAPÕES;1193,13;2988;970;2018;Pequeno I
4322503305875;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4312377;431237;RS;Monte Alegre dos Campos;MONTE ALEGRE DOS CAMPOS;549,74;3102;645;2457;Pequeno I
4322503305875;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4307401;430740;RS;Esmeralda;ESMERALDA;833,35;3168;2128;1040;Pequeno I
4322503305875;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4303673;430367;RS;Campestre da Serra;CAMPESTRE DA SERRA;538;3247;1231;2016;Pequeno I
4322503306459;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4314464;431446;RS;Pinhal da Serra;PINHAL DA SERRA;434,05;2130;478;1652;Pequeno I
4322503306459;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4312617;431261;RS;Muitos Capões;MUITOS CAPOES;1193,13;2988;970;2018;Pequeno I
4322503306459;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4312377;431237;RS;Monte Alegre dos Campos;MONTE ALEGRE DOS CAMPOS;549,74;3102;645;2457;Pequeno I
4322503306459;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4307401;430740;RS;Esmeralda;ESMERALDA;833,35;3168;2128;1040;Pequeno I
4322503306459;432250;Região Sul;RS;Vacaria;2123,67;61342;Médio;4303673;430367;RS;Campestre da Serra;CAMPESTRE DA SERRA;538;3247;1231;2016;Pequeno I
4219003302801;421900;Região Sul;SC;Urussanga;240,48;20223;Pequeno II;4219002;421900;SC;Urussanga;Urussanga;240,48;20223;11405;8818;Pequeno II
4219003302801;421900;Região Sul;SC;Urussanga;240,48;20223;Pequeno II;4211207;421120;SC;Morro da Fumaça;Morro da Fumaça;82,94;16126;13863;2263;Pequeno I
4219003302801;421900;Região Sul;SC;Urussanga;240,48;20223;Pequeno II;4204251;420425;SC;Cocal do Sul;Cocal do Sul;71,21;15159;12696;2463;Pequeno I
4322403304477;432240;Região Sul;RS;Uruguaiana;5715,78;125435;Grande;4301875;430187;RS;Barra do Quaraí;Barra do Quarai;1056,15;4012;2840;1172;Pequeno I
4322403304526;432240;Região Sul;RS;Uruguaiana;5715,78;125435;Grande;4301875;430187;RS;Barra do Quaraí;Barra do Quarai;1056,15;4012;2840;1172;Pequeno I
4218903302972;421890;Região Sul;SC;Urubici;1019,23;10699;Pequeno I;4215059;421505;SC;Rio Rufino;Rio Rufino;282,57;2436;688;1748;Pequeno I
4128403304462;412840;Região Sul;PR;Uraí;237,81;11472;Pequeno I;4121307;412130;PR;Rancho Alegre;RANCHO ALEGRE;167,65;3955;3470;485;Pequeno I
2807603304907;280760;Região Nordeste;SE;Umbaúba;121,1;22434;Pequeno II;2807501;280750;SE;Tomar do Geru;TOMAR DO GERU;287,66;12855;4812;8043;Pequeno I
2807603304907;280760;Região Nordeste;SE;Umbaúba;121,1;22434;Pequeno II;2807402;280740;SE;Tobias Barreto;TOBIAS BARRETO;1032,83;48040;32228;15812;Pequeno II
2807603304907;280760;Região Nordeste;SE;Umbaúba;121,1;22434;Pequeno II;2801702;280170;SE;Cristinápolis;CRISTINÁPOLIS;253,87;16519;8336;8183;Pequeno I
3555603306444;355560;Região Sudeste;SP;Uchoa;252,21;9471;Pequeno I;3555604;355560;SP;Uchoa;UCHOA;252,21;9471;8801;670;Pequeno I
3555603306444;355560;Região Sudeste;SP;Uchoa;252,21;9471;Pequeno I;3521150;352115;SP;Ipiguá;IPIGUA;135,62;4463;2697;1766;Pequeno I
3555603306444;355560;Região Sudeste;SP;Uchoa;252,21;9471;Pequeno I;3128006;312800;MG;Guanhães;GUAPIACU;1076,04;31262;25421;5841;Pequeno II
3555603306444;355560;Região Sudeste;SP;Uchoa;252,21;9471;Pequeno I;3511300;351130;SP;Cedral;CEDRAL;197,62;7972;6307;1665;Pequeno I
3555603306444;355560;Região Sudeste;SP;Uchoa;252,21;9471;Pequeno I;3504602;350460;SP;Bady Bassitt;BADY BASSITT;109,59;14603;13659;944;Pequeno I
4128003303775;412800;Região Sul;PR;Ubiratã;652,58;21558;Pequeno II;4103008;410300;PR;Boa Esperança;Boa Esperança;307,38;4568;2640;1928;Pequeno I
3170103306337;317010;Região Sudeste;MG;Uberaba;4512,14;295988;Grande;3137536;313753;MG;Lagoa Grande;Lagoa Grande;1219,89;8631;6408;2223;Pequeno I
3170103306337;317010;Região Sudeste;MG;Uberaba;4512,14;295988;Grande;3108552;310855;MG;Brasilândia de Minas;Brasilândia de Minas;2515,34;14226;12372;1854;Pequeno I
3170103306382;317010;Região Sudeste;MG;Uberaba;4512,14;295988;Grande;3162104;316210;MG;São Gotardo;Sao Gotardo;853,75;31819;30061;1758;Pequeno II
3170103306382;317010;Região Sudeste;MG;Uberaba;4512,14;295988;Grande;3157708;315770;MG;Santa Juliana;Santa Juliana;727,35;11337;9795;1542;Pequeno I
3170103306382;317010;Região Sudeste;MG;Uberaba;4512,14;295988;Grande;3156908;315690;MG;Sacramento;Sacramento;3071,45;23896;19275;4621;Pequeno II
3170103306382;317010;Região Sudeste;MG;Uberaba;4512,14;295988;Grande;3152105;315210;MG;Ponte Nova;Ponte Nova;470,34;57390;51185;6205;Médio
4218803306180;421880;Região Sul;SC;Turvo;233,94;11854;Pequeno I;4218103;421810;SC;Timbé do Sul;Timbe deSul;333,43;5308;1845;3463;Pequeno I
4218803306180;421880;Região Sul;SC;Turvo;233,94;11854;Pequeno I;4211256;421125;SC;Morro Grande;Morro Grande;256,47;2890;756;2134;Pequeno I
4218803306180;421880;Região Sul;SC;Turvo;233,94;11854;Pequeno I;4210803;421080;SC;Meleiro;Meleiro;186,62;7000;3649;3351;Pequeno I
4218803306180;421880;Região Sul;SC;Turvo;233,94;11854;Pequeno I;4208708;420870;SC;Jacinto Machado;Jacinto Machado;428,65;10609;5133;5476;Pequeno I
4218803306180;421880;Região Sul;SC;Turvo;233,94;11854;Pequeno I;4205191;420519;SC;Ermo;Ermo;63,87;2050;619;1431;Pequeno I
3169703306354;316970;Região Sudeste;MG;Turmalina;1153,09;18055;Pequeno I;3171071;317107;MG;Veredinha;Veredinha;635,26;5549;3769;1780;Pequeno I
3169703306354;316970;Região Sudeste;MG;Turmalina;1153,09;18055;Pequeno I;3138351;313835;MG;Leme do Prado;Leme do Prado;281,31;4804;1761;3043;Pequeno I
3169703306354;316970;Região Sudeste;MG;Turmalina;1153,09;18055;Pequeno I;3136520;313652;MG;José Gonçalves de Minas;José Gonçalves de Minas;382,86;4553;1138;3415;Pequeno I
3555103304128;355510;Região Sudeste;SP;Tupi Paulista;244,65;14269;Pequeno I;3533106;353310;SP;Nova Guataporanga;Nova Guataporanga;34,12;2177;1890;287;Pequeno I
3555103304128;355510;Região Sudeste;SP;Tupi Paulista;244,65;14269;Pequeno I;3531605;353160;SP;Monte Castelo;Monte Castelo;233,16;4063;3211;852;Pequeno I
4322203302631;432220;Região Sul;RS;Tupanciretã;2251,86;22281;Pequeno II;4311130;431113;RS;Jari;Jari;856,46;3575;613;2962;Pequeno I
3555003300192;355500;Região Sudeste;SP;Tupã;629,11;63476;Médio;3550506;355050;SP;São Pedro do Turvo;São Pedro do Turvo;731,02;7198;5150;2048;Pequeno I
3555003300192;355500;Região Sudeste;SP;Tupã;629,11;63476;Médio;3541802;354180;SP;Queiroz;Queiróz;235,5;2808;2385;423;Pequeno I
3555003300192;355500;Região Sudeste;SP;Tupã;629,11;63476;Médio;3527405;352740;SP;Lucélia;Lucélia;314,46;19882;17219;2663;Pequeno I
