Variável;Descrição
NU_IDENTIFICADOR;NU_IDENTIFICADOR.Número Identificador do Centro DIA no CadSUAS
Longitude;Longitude.Longitude:
Latitude;Latitude.Latitude:
IBGE;IBGE.Código IBGE
IBGE7;Código do IBGE (7 dígitos)
UF;UF
uf_s;UF
Nome_UF;UF
Região;Grande Região
Município;Município
Area;Área Territorial do município (Km2) - 2010
Capital;
RM;Municípios localizados em regiões metropolitanas_2010
Qual_RM;Classificação da região metropolitana_2010
Nome_RM;Nome da região metropolitana_2010
amazonia_legal;Municípios que pertencem à região da Amazônia Legal_2014
Semi_arido;Municipios do semi-árido brasileiro_2007
fronteira_internacional;Municípios que tocam a  fronteira internacional_2010
costa_litoranea;Municípios que tocam a  costa litorânea_2010
Cod_RegiaoRural;Municípios classificados em Regiões Rurais - código_2015
Nome_RegiaoRural;Municípios classificados em Regiões Rurais - nome_2015
Mesorregião;Mesorregião (código)_2010
Nome_Mesorregião;Mesorregião (nome)_2010
Pop_Total2010_MESO;População Total (mesorregião)_2010
Microrregião;Microrregião (código)_2010
Nome_Microrregião;Microrregião (nome)_2010
Pop_Total2010_MICRO;População Total (microrregião)_2010
Pop_total_2010;Pop_total_2010_População total - Censo 2010
Pop_Urbana2010;População urbana - Censo 2010
Pop_Rural2010;População rural - Censo 2010
Porte_pop2010;Porte SUAS_população 2010
Estimativa_PerfilCadÚnico_Censo2010;Estimativa de Famílias de baixa renda - Perfil Cadastro Único (Censo 2010) - Estimativa de Famílias de baixa renda
Estimativa_PerfilBolsaFamília_Censo2010;Estimativa de famílias pobres - Perfil Bolsa Família (CENSO 2010) - Estimativa de famílias pobres - Perfil Bolsa Família (CENSO 2010)
ident.1;ident.1.Nome que identifica a unidade:
ident.2;ident.2.Selecione o Tipo de Logradouro (avenida, rua, etc):
ident.3;ident.3.Endereço:
ident.4;ident.4.Número:
ident.5;ident.5.Complemento:
ident.6;ident.6.Bairro:
ident.7;ident.7.CEP:
ident.8;ident.8.Município:
ident.9;ident.9.UF:
ident.11;ident.11.DDD - Telefone:
ident.12;ident.12.Ramal:
ident.13;ident.13.Fax:
ident.14;ident.14.Data de Implantação desta Unidade:
q1;q1.Dados provenientes da gestão estadual ou municipal
q2.1;q2.1.Público atendido_Criança/Adolescentes com deficiência e com algum grau de dependência
q2.2;q2.2.Público atendido_Adultos com deficiência e com algum grau de dependência
q2.3;q2.3.Público atendido_Idosos com deficiência
q2.4;q2.4.Público atendido_Idosos com algum grau de dependência (sem deficiência)
q3.1;q3.1.Horário de funcionamento: dias por semana
q3.2;q3.2.Horário de funcionamento: horas por dia
q4;q4.Indique a Natureza desta Unidade:
q5;q5.Em caso de Entidade Não Governamental, indique o CNPJ
q6;q6.Esta Unidade faz parte de alguma rede/federação nacional ou estadual de entidades de defesa e apoio às pessoas com deficiência e suas famílias?
q7;q7.Caso sim, informe qual
q7.Qual;q7.Qual.Qual?
q8;q8.A entidade recebe recursos financeiros do poder público visando à manutenção do Serviço?
q9.1;q9.1.Entidade outras formas de apoio_Não recebe nenhuma outra forma de apoio do poder público municipal
q9.2;q9.2.Entidade outras formas de apoio_Cessão de recursos humanos
q9.3;q9.3.Entidade outras formas de apoio_Cessão imobiliária
q9.4;q9.4.Entidade outras formas de apoio_Pagamento de aluguel
q9.5;q9.5.Entidade outras formas de apoio_Pagamento de contas de água
q9.6;q9.6.Entidade outras formas de apoio_Pagamento de contas de luz ou telefone
q9.7;q9.7.Entidade outras formas de apoio_Fornecimento de gêneros alimentícios
q9.8;q9.8.Entidade outras formas de apoio_Fornecimento de materiais de higiene e limpeza
q9.9;q9.9.Entidade outras formas de apoio_Fornecimento de materiais didáticos
q9.10;q9.10.Entidade outras formas de apoio_Isenção de taxas ou tributos municipais
q9.11;q9.11.Entidade outras formas de apoio_Treinamento e capacitação de trabalhadores da entidade
q9.99;q9.99.Entidade outras formas de apoio_Outros
q10.1;q10.1.Unidade possui inscrição_Conselho Municipal, Estadual ou do Distrito Federal de Assistência Social
