UF;UF;Região;Pop_Total2010;Quant_municipios;q53_2;q53_3;q53_4;q53_5;q53_6;q53_7;q53_8;q53_9;REPRESENTAÇÃO;D53_2;D53_2_categoria;D53_4;D53_4bin1;D53_4bin2;D53_4bin3;D53_5bin1;D53_5bin2;D53_5bin3;D53_5bin4;D53_5bin1_TIT;D53_5bin1_SUPL;D53_5bin2_TIT;D53_5bin2_SUPL;D53_5bin3_TIT;D53_5bin3_SUPL;D53_5bin4_TIT;D53_5bin4_SUPL;D53_5bin1_sum;D53_5bin2_sum;D53_5bin3_sum;D53_5bin4_sum;D53_5bin1_TIT_sum;D53_5bin1_SUPL_sum;D53_5bin2_TIT_sum;D53_5bin2_SUPL_sum;D53_5bin3_TIT_sum;D53_5bin3_SUPL_sum;D53_5bin4_TIT_sum;D53_5bin4_SUPL_sum;nu_conselheiros
11;RO;Norte;1562409;52;22/09/1949;F;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Vice-Presidente;Voluntário;24/09/2016;24/03/2017;5;67;50 anos ou mais;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;0,00;2,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;2,00;5
11;RO;Norte;1562409;52;07/05/1950;F;Mestrado;Governamental  Outras áreas;Conselheiro Presidente;Servidor Estatutário;24/09/2016;24/03/2017;4;66;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;0,00;2,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;2,00;5
11;RO;Norte;1562409;52;09/04/1970;F;Superior Completo;Governamental  Outras áreas;Conselheiro Suplente;Comissionado;24/09/2016;24/03/2017;4;46;De 40 a 49 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;0,00;2,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;2,00;5
11;RO;Norte;1562409;52;07/03/1976;F;Superior Incompleto;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Titular;Voluntário;24/09/2016;24/03/2017;5;40;De 40 a 49 anos;Nível Médio;;Nível Médio;;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;0,00;2,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;2,00;5
11;RO;Norte;1562409;52;15/08/1981;M;Superior Completo;Governamental  Assistência Social;Conselheiro Suplente;Comissionado;24/09/2016;24/03/2017;1;35;De 30 a 39 anos;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;0,00;2,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;2,00;5
12;AC;Norte;733559;22;01/10/1959;F;Superior Completo;Governamental  Outras áreas;Conselheiro Titular;Voluntário;16/03/2016;16/03/2018;4;57;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;08/10/1954;M;Superior Completo;Sociedade Civil  das entidade e Organizações de Ass Social;Conselheiro Presidente;Voluntário;30/09/2016;30/09/2018;5;62;50 anos ou mais;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;13/04/1958;F;Superior Completo;Sociedade Civil  organizações dos trabalhadores;Conselheiro Suplente;Voluntário;30/09/2016;30/09/2018;7;58;50 anos ou mais;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;;1,00;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;01/04/1965;M;Especialização;Sociedade Civil  dos usuários;Conselheiro Titular;Voluntário;16/03/2016;16/03/2018;6;51;50 anos ou mais;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;1,00;;;;;;;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
12;AC;Norte;733559;22;21/02/1965;M;Superior Completo;Governamental  Outras áreas;Vice-Presidente;Voluntário;16/03/2016;16/03/2018;4;51;50 anos ou mais;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;6,00;4,00;4,00;13,00;6,00;0,00;2,00;2,00;2,00;2,00;6,00;7,00;27
