Variável;Descrição
IBGE;codigo_ibge_codigo_ibg_sem_DV (6 dígitos)
IBGE7;Código do IBGE (7 dígitos)
UF;CODUF do IBGE
uf_s;Sigla UF
Nome_UF;Nomde da UF
Região;Grande Região
Município;Município
Pop_Total2010_MICRO;População Total (microrregião)_2010
Pop_total_2010;Pop_total_2010_População total - Censo 2010
Pop_Urbana2010;População urbana - Censo 2010
Pop_Rural2010;População rural - Censo 2010
Porte_pop2010;Porte SUAS_população 2010
ident_1; ident_1_Nome que identifica o Conselho:
ident_2; ident_2_Selecione o Tipo de Logradouro (avenida, rua, etc):
ident_3; ident_3_Endereço:
ident_4; ident_4_Número:
ident_5; ident_5_Complemento:
ident_6; ident_6_Bairro:
ident_7; ident_7_Ponto de Referência:
ident_8; ident_8_CEP:
munic; munic_Município:
ident_9; ident_9_UF:
ident_11; ident_11_Telefone:
ident_12; ident_12_Ramal:
ident_13; ident_13_FAX:
p_latitude;Latitude:
p_longitude;Longitude:
q1;q1_Esse conselho possui regimento interno?
q2;q2_Caso sim, informe o ano da última atualização do Regimento:
q3a_1;q3a_1_Conteúdo Previsto_Processo de eleição da Presidência e Vice-Presidência_Regimento Interno
q3a_2;q3a_2_Conteúdo Previsto_Processo de eleição da Presidência e Vice-Presidência_Outras Normativas
q3a_3;q3a_3_Conteúdo Previsto_Processo de eleição da Presidência e Vice-Presidência_Não está normatizado
q3a_0;q3a_0_Conteúdo Previsto_Processo de eleição da Presidência e Vice-Presidência_Lei do Conselho
q3b_1;q3b_1_Conteúdo Previsto_Processo de eleição dos conselheiros representantes da sociedade civil_Regimento Interno
q3b_2;q3b_2_Conteúdo Previsto_Processo de eleição dos conselheiros representantes da sociedade civil_Outras Normativas
q3b_3;q3b_3_Conteúdo Previsto_Processo de eleição dos conselheiros representantes da sociedade civil_Não está normatizado
q3b_0;q3b_0_Conteúdo Previsto_Processo de eleição dos conselheiros representantes da sociedade civil_Lei do Conselho
q3c_1;q3c_1_Conteúdo Previsto_Alternância na Presidência do Conselho entre representantes do governo e da sociedade civilRegimento Interno
q3c_2;q3c_2_Conteúdo Previsto_Alternância na Presidência do Conselho entre representantes do governo e da sociedade civilOutras Normativas
q3c_3;q3c_3_Conteúdo Previsto_Alternância na Presidência do Conselho entre representantes do governo e da sociedade civilNão está normatizado
q3c_0;q3c_0_Conteúdo Previsto_Alternância na Presidência do Conselho entre representantes do governo e da sociedade civilLei do Conselho
q3d_1;q3d_1_Conteúdo Previsto_Trâmites para substituição de conselheiros e perda de mandatos_Regimento Interno
q3d_2;q3d_2_Conteúdo Previsto_Trâmites para substituição de conselheiros e perda de mandatos_Outras Normativas
q3d_3;q3d_3_Conteúdo Previsto_Trâmites para substituição de conselheiros e perda de mandatos_Não está normatizado
q3d_0;q3d_0_Conteúdo Previsto_Trâmites para substituição de conselheiros e perda de mandatos_Lei do Conselho
q3e_1;q3e_1_Conteúdo Previsto_Atribuições da Presidência do Conselho_Regimento Interno
q3e_2;q3e_2_Conteúdo Previsto_Atribuições da Presidência do Conselho_Outras Normativas
q3e_3;q3e_3_Conteúdo Previsto_Atribuições da Presidência do Conselho_Não está normatizado
q3e_0;q3e_0_Conteúdo Previsto_Atribuições da Presidência do Conselho_Lei do Conselho
q3f_1;q3f_1_Conteúdo Previsto_Atribuições da Vice-Presidência do Conselho_Regimento Interno
q3f_2;q3f_2_Conteúdo Previsto_Atribuições da Vice-Presidência do Conselho_Outras Normativas
q3f_3;q3f_3_Conteúdo Previsto_Atribuições da Vice-Presidência do Conselho_Não está normatizado
q3f_0;q3f_0_Conteúdo Previsto_Atribuições da Vice-Presidência do Conselho_Lei do Conselho
q3g_1;q3g_1_Conteúdo Previsto_Atribuições da Secretaria Executiva do Conselho_Regimento Interno
q3g_2;q3g_2_Conteúdo Previsto_Atribuições da Secretaria Executiva do Conselho_Outras Normativas
q3g_3;q3g_3_Conteúdo Previsto_Atribuições da Secretaria Executiva do Conselho_Não está normatizado
q3g_0;q3g_0_Conteúdo Previsto_Atribuições da Secretaria Executiva do Conselho_Lei do Conselho
q3h_1;q3h_1_Conteúdo Previsto_Quantidade de vagas destinadas a representantes de usuários ou de organizações de usuários da assistência social na representação da sociedade civil_Regimento Interno
q3h_2;q3h_2_Conteúdo Previsto_Quantidade de vagas destinadas a representantes de usuários ou de organizações de usuários da assistência social na representação da sociedade civil_Outras Normativas
q3h_3;q3h_3_Conteúdo Previsto_Quantidade de vagas destinadas a representantes de usuários ou de organizações de usuários da assistência social na representação da sociedade civil_Não está normatizado
q3h_0;q3h_0_Conteúdo Previsto_Quantidade de vagas destinadas a representantes de usuários ou de organizações de usuários da assistência social na representação da sociedade civil_Lei do Conselho
