Variável;Descrição
NU_IDENTIFICADOR;id_convivencia
IBGE;Código IBGE do Município
IBGE7;Código IBGE com Dígito Verificador
Região;Grande Região
UF;Unidade da Federação
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
ident_1;Nome que identifica a unidade:
ident_2;Selecione o Tipo de Logradouro (avenida, rua, etc):
ident_3;Endereço:
ident_4;Número:
ident_5;Complemento:
ident_6;Bairro:
ident_7;CEP:
ident_8;Município
ident_9;UF
ident_11;DDD - Telefone:
ident_12;Ramal:
ident_13;FAX:
ident_14;Data de Implantação da Unidade (dd/mm/aaaa):
Latitude;Latitude:
Longitude;Longitude:
q1;Dados provenientes da gestão estadual ou municipal:
q2;Natureza desta unidade:
q3;Em caso de Entidade Não Governamental, indique o CNPJ:
CNPJ_2;CNPJ
q4;Localização:
q5_1;dias por semana
q5_2;horas por dia
q6_1;Crianças de 0 a 6 anos de idade
q6_2;Crianças e adolescentes de 7 a 14 anos de idade
q6_3;Jovens de 15 a 17 anos de idade
q6_4;Adultos de 18 a 29 anos de idade
q6_5;Adultos de 30 a 59 anos de idade
q6_6;Idosos (60 anos ou mais)
q7;A entidade possui convênio com o poder público municipal para repasse de recursos financeiros, visando à manutenção do Serviço de Convivência e Fortalecimento de Vínculos?
q8;Esta unidade está referenciada a um Centro de Referência de Assistência Social?
q8_1; Erro ao buscar os Centros de Convivência do Município na base do CADSUAS
q9;Este imóvel é utilizado exclusivamente para oferta do Serviço de Convivência e Fortalecimento de Vínculos?
q10_0;0 Não
q10_1;1 Sim, Serviço de proteção social básica no domicílio para pessoas com deficiência e idosas
q10_2;2 Sim, Serviço especializado em Abordagem Social
q10_3;3 Sim, Serviço de Proteção Social Especial para Pessoas com Deficiência, Idosas e suas Famílias
q10_4;4 Sim, Serviço Especializado para Pessoas em Situação de Rua
q10_5;5 Sim, Acessuas Trabalho
q10_6;6 Sim, Serviços de Medidas Socioeducativas (MSE)
q10_7;7 Sim, Cadastro Único
q10_8;8 Sim, Serviço de acolhimento
