Variável;Descrição
IBGE;Código IBGE do Município
IBGE7;Código IBGE com dígito verificador
UF;Unidade da Federação
Município;Município
Região;Grande Região
Pop_Total2010;População Total do Município - Censo IBGE 2010
Pop_Urbana2010;População Urbana do Município - Censo IBGE 2010
Pop_Rural2010;População Rural do Município - Censo IBGE 2010
Porte_pop2010;Porte Populacional - Censo IBGE 2010
ident1_nome;ident1_Nome que identifica o órgão gestor
ident2;ident2_Tipo de Logradouro (avenida, rua, etc)
ident3;ident3_Endereço
ident4;ident4_Número
ident5;ident5_Complemento
ident6_bairro;ident6_Bairro
ident7;ident7_Ponto de Referência
ident8_cep;ident8_CEP
ident9_mun;ident9_Município
ident10_uf;ident10_UF
ident12_tel;ident12_DDD - Telefone
ident13_ramal;ident13_Ramal
ident14_fax;ident14_FAX
coord_latitude;Coordenadas_Latitude
coord_longitude;Coordenadas_Longitude
q1;q1_De acordo com a estrutura administrativa do município o órgão gestor da assistência social caracteriza-se como:
q2_1;q2_1_Secretaria Associada_Educação
q2_2;q2_2_Secretaria Associada_Planejamento
q2_3;q2_3_Secretaria Associada_Saúde
q2_4;q2_4_Secretaria Associada_Habitação
q2_5;q2_5_Secretaria Associada_Segurança Alimentar
q2_6;q2_6_Secretaria Associada_Trabalho e/ou Emprego
q2_7;q2_7_Secretaria Associada_Direitos Humanos
q2_99;q2_99_Secretaria Associada_Outra
q2_qual;q2_qual_Secretaria Associada_Qual?
q3_1;q3_1_Subdivisões_Proteção Social Básica
q3_2;q3_2_Subdivisões_Proteção Social Especial
q3_3;q3_3_Subdivisões_Gestão de Benefícios Assistenciais (Bolsa Família, BPC, Benefícios Eventuais)
q3_4;q3_4_Subdivisões_Gestão do SUAS
q3_5;q3_5_Subdivisões_Vigilância Socioassistencial (Inclusive áreas de monitoramento e avaliação)
q3_6;q3_6_Subdivisões_Gestão do Trabalho
q3_7;q3_7_Subdivisões_Regulação do SUAS
q3_8;q3_8_Subdivisões_Gestão Financeira e Orçamentária
q4_1;q4_1_Locais Cadastramento_Na sede do órgão gestor/Secretaria de Assistência
q4_2;q4_2_Locais Cadastramento_Nos CRAS
q4_3;q4_3_Locais Cadastramento_Em unidades/postos fixos exclusivos para cadastramento
q4_4;q4_4_Locais Cadastramento_Em unidades móveis ou postos temporários
q4_5;q4_5_Locais Cadastramento_Em outras unidades da Assistência Social
q4_6;q4_6_Locais Cadastramento_Em unidades de outras políticas públicas
q4_7;q4_7_Locais Cadastramento_No domicílio das famílias
