IBGE7;IBGE;Região;UF;uf_s;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;Pop_Total2010_MICRO;NºIDENTIFICADOR;q.28.2;idade;q.28.3;q.28.9;q.28.10;q.28.11;q.28.12;q.28.13;D28.2.FaixasEtarias;D28.9;D28.11;D28.9bin1;D28.9bin2;D28.9bin3;D28.10bin1;D28.10bin2;D28.10bin3;D28.10bin4;D28.10bin5;D28.11bin1;D28.11bin2;D28.11bin3;D28.11bin4;D28.9bin1_sum;D28.9bin2_sum;D28.9bin3_sum;D28.10bin1_sum;D28.10bin2_sum;D28.10bin3_sum;D28.10bin4_sum;D28.10bin5_sum;D28.11bin1_sum;D28.11bin2_sum;D28.11bin3_sum;D28.11bin4_sum;nu_trabalhadores
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;04/07/1964;53;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;14/10/2015;De 50 a 85 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;02/08/1973;44;Masculino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;01/12/2014;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;12/12/1976;41;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;30/01/2015;De 40 a 49 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;23/03/1973;44;Feminino;Superior Completo;Advogado;Sem Vínculo;Família Acolhedora;01/12/2014;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;02/08/1973;44;Feminino;Superior Completo;Pedagogo;Sem Vínculo;Família Acolhedora;09/06/2015;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;02/08/1973;44;Masculino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;01/12/2014;De 40 a 49 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;Grande;418113;1200400000000;12/12/1976;41;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;09/02/2015;De 40 a 49 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;4,00;1,00;;;1,00;;;;;7,00;7
1302504;130250;1;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;Médio;2039536;1302500000000;27/04/1968;49;Feminino;Fundamental Completo;Profissional de nível médio;Servidor Temporário;Família Acolhedora;02/01/2017;De 40 a 49 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2,00;;;;;;;;;;;2,00;2
1302504;130250;1;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;Médio;2039536;1302500000000;25/02/1974;43;Feminino;Fundamental Completo;Profissional de nível médio;Servidor Temporário;Família Acolhedora;02/01/2017;De 40 a 49 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;2,00;;;;;;;;;;;2,00;2
1502301;150230;1;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;Médio;434556;1502300000000;07/06/1983;34;Feminino;Superior Completo;Advogado;Sem Vínculo;Família Acolhedora;06/02/2017;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;3,00;;1,00;;;;1,00;;;;;4,00;4
1502301;150230;1;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;Médio;434556;1502300000000;15/10/1955;62;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;31/03/2017;De 50 a 85 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;3,00;;1,00;;;;1,00;;;;;4,00;4
1502301;150230;1;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;Médio;434556;1502300000000;09/04/1980;37;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;13/07/2017;De 30 a 39 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;3,00;;1,00;;;;1,00;;;;;4,00;4
1502301;150230;1;15;PA;Capitão Poço;Capitão Poço;2899,53;51893;21441;30452;Médio;434556;1502300000000;10/04/1984;33;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;10/12/2014;De 30 a 39 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;3,00;;1,00;;;;1,00;;;;;4,00;4
1503200;150320;1;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;Pequeno II;382765;1503200000000;15/06/1970;47;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;04/01/2017;De 40 a 49 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;;;;;;;;;;3,00;3
1503200;150320;1;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;Pequeno II;382765;1503200000000;04/10/1975;42;Feminino;Fundamental Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;30/09/2015;De 40 a 49 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;;;;;;;;;;3,00;3
1503200;150320;1;15;PA;Igarapé-açu;Igarapé-Açu;785,98;35887;21207;14680;Pequeno II;382765;1503200000000;25/10/1983;34;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;05/01/2017;De 30 a 39 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;2,00;;;;;;;;;;3,00;3
1505106;150510;1;15;PA;Óbidos;Óbidos;28021,29;49333;25466;23867;Pequeno II;184339;1505100000000;23/01/1973;44;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;23/01/2012;De 40 a 49 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;1,00;4,00;1,00;;;;;;1,00;;;5,00;6
1505106;150510;1;15;PA;Óbidos;Óbidos;28021,29;49333;25466;23867;Pequeno II;184339;1505100000000;25/02/1984;33;Feminino;Superior Completo;Outra formação de nível superior;Sem Vínculo;Família Acolhedora;23/01/2012;De 30 a 39 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;1,00;4,00;1,00;;;;;;1,00;;;5,00;6
1505106;150510;1;15;PA;Óbidos;Óbidos;28021,29;49333;25466;23867;Pequeno II;184339;1505100000000;06/01/1954;63;Feminino;Fundamental Incompleto;Sem formação profissional;Sem Vínculo;Família Acolhedora;23/01/2012;De 50 a 85 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;1,00;4,00;1,00;;;;;;1,00;;;5,00;6
