IBGE7;IBGE;UF;uf_s;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Pop_Total2010_MICRO;Porte_pop2010;Região;NºIDENTIFICADOR;data_nasc;ano;Idade;q.30.3;q.30.9;q.30.10;q.30.11;q.30.12;q.30.13;q.30.14;D30.2.FaixasEtarias;D30.9;D30.9bin1;D30.9bin2;D30.9bin3;D30.11;D30.10bin1;D30.10bin2;D30.10bin3;D30.10bin4;D30.10bin5;D30.11bin1;D30.11bin2;D30.11bin3;D30.11bin4;D30.9bin1_sum;D30.9bin2_sum;D30.9bin3_sum;D30.10bin1_sum;D30.10bin2_sum;D30.10bin3_sum;D30.10bin4_sum;D30.10bin5_sum;D30.11bin1_sum;D30.11bin2_sum;D30.11bin3_sum;D30.11bin4_sum;nu_trabalhadores
1200401;120040;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;418113;Grande;1;1200000000000;22-01-1982;1982;35;F;Especialização;Psicólogo;Servidor Estatutário;Técnico(a) de nível superior;40 horas semanais;03/02/2010;De 30 a 39 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;;;;Psicólogo;Servidor Estatutário;;;;0;0;3;0;1;0;0;1;2;0;0;1;3
1200401;120040;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;418113;Grande;1;1200000000000;25-02-1986;1986;31;F;Superior Completo;Outra formação de nível superior;Servidor Estatutário;Orientador/Educador(a) Social;Maior que 40 horas semanais;03/11/2016;De 30 a 39 anos;Nível Superior;;;Nível Superior;Servidor Estatutário;;;;;;Servidor Estatutário;;;;0;0;3;0;1;0;0;1;2;0;0;1;3
1200401;120040;12;AC;Rio Branco;Rio Branco;9222,58;336038;308545;27493;418113;Grande;1;1200000000000;21-01-1990;1990;27;F;Superior Completo;Assistente Social;Terceirizado;Coordenador(a);40 horas semanais;03/11/2016;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;0;3;0;1;0;0;1;2;0;0;1;3
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;21-09-1989;1989;28;F;Médio Completo;Profissional de nível médio;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 16 a 29 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;25-02-1991;1991;26;F;Superior Completo;Pedagogo;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 16 a 29 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;Pedagogo;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;01-04-1997;1997;20;F;Médio Completo;Profissional de nível médio;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 16 a 29 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;11-03-1997;1997;20;M;Médio Completo;Profissional de nível médio;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 16 a 29 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;05-06-1971;1971;46;M;Médio Completo;Profissional de nível médio;Servidor Temporário;Cuidador(a);Maior que 40 horas semanais;02/01/2017;De 40 a 49 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;20-06-1972;1972;45;F;Especialização;Assistente Social;Servidor Temporário;Coordenador(a);30 horas semanais;01/09/2015;De 40 a 49 anos;Nível Superior;;;Nível Superior;Outros vínculos não permanentes;;Assistente Social;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
1302504;130250;13;AM;Manacapuru;Manacapuru;7329,23;85141;60174;24967;2039536;Médio;1;1300000000000;14-03-1980;1980;37;F;Superior Incompleto;Outra formação de nível superior;Servidor Temporário;Cuidador(a);40 horas semanais;01/10/2013;De 30 a 39 anos;Nível Médio;;Nível Médio;;Outros vínculos não permanentes;;;;;;;;;Outros vínculos não permanentes;0;8;2;1;1;0;0;0;0;0;0;10;10
