Variável;Descrição
IBGE7;Código IBGE com Dígito Verificador
IBGE;Código IBGE do Município
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Pop_Total2010_MICRO;
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
Região;Grande Região
NºIDENTIFICADOR;Número Identificador da Unidade
data_nasc;Data de nascimento do(a) trabalhador(a)
ano;Ano de nascimento do(a) trabalhador(a)
Idade;Idade do(a) trabalhador(a)
q.30.3;Sexo
q.30.9;Escolaridade
q.30.10;Profissão
q.30.11;Vínculo
q.30.12;Função
q.30.13;Carga horária
q.30.14;Início do Exercício da Função
D30.2.FaixasEtarias;
D30.9;
D30.9bin1;
D30.9bin2;
D30.9bin3;
D30.11;
D30.10bin1;
D30.10bin2;
D30.10bin3;
D30.10bin4;
D30.10bin5;
D30.11bin1;
D30.11bin2;
D30.11bin3;
D30.11bin4;
D30.9bin1_sum;D30.9bin1_Número de trabalhadores de Nível fundamental (inclui trabalhadores sem escolaridade, fundamental incompleto e ensino médio incompleto)
D30.9bin2_sum;D30.9bin2_Número de trabalhadores de Nível médio (inclui trabalhadores com ensino superior incompleto)
D30.9bin3_sum;D30.9bin3_Número de trabalhadores de Nível superior (inclui trabalhadores com especialização, mestrado e doutorado)
D30.10bin1_sum;D30.10bin1_sum_Número de Pedagogos
D30.10bin2_sum;D30.10bin2_sum_Número de Assistentes Sociais
D30.10bin3_sum;D30.10bin3_sum_Número de Antropólogos
D30.10bin4_sum;D30.10bin4_sum_Número de Advogados
D30.10bin5_sum;D30.10bin5_sum_Número de Psicólogos
D30.11bin1_sum;D30.11bin1_Número de Servidores Estatutários
D30.11bin2_sum;D30.11bin2_Número de Empregados Públicos(CLT)
D30.11bin3_sum;D30.11bin3_Número de Comissionados
D30.11bin4_sum;D30.11bin4_Número de profissionais com outros vínculos não permanentes (inclui Trabalhador de Empresas/Cooperativa/Entidade Prestadora de Serviços/Voluntários/Ser. Temporário/Sem vínculo/Terceirizado e Outro vínculo não permanente)
nu_trabalhadores;Número de trabalhadores na unidade executora do serviço de acolhimento em familia acolhedora
