IBGE7;IBGE;Região;UF;uf_s;Município;Municipio_2013;area;Pop_Total2010_MICRO;Porte_pop2010;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;NºIDENTIFICADOR;ident.0.1;ident.0.2;ident.0.3;ident.0t.4;ident.0.5;ident.0.6;ident.0.7;ident.0.8;ident.0.9;ident.0.10;ident.0.11;ident.0.12;ident.0.13;ident.0.14;ident.0.15;ident.0.16;Latitude;Longitude;q.1;q.2;q.3;q.4.1;q.4.2;q.4.3;q.4.0;q.4.99;q.5.1;q.5.2;q.5.99;q.5.0;q.5.99.1;q.6;q.7;q.9.1;q.9.2;q.9.3;q.9.4;q.10;q.11;q.12;q.13;q.13.1;q.14;q.14.99;q.15;q.16.1.1;q.16.1.2;q.16.1.3;q.16.1.4;q.16.1.5;q.16.1.6;q.16.1.7;q.16.2.1;q.16.2.2;q.16.2.3;q.16.2.4;q.16.2.5;q.16.2.6;q.16.2.7;q.17;q.17.99;q.18.1;q.18.1.99;q.18.2;q.18.2.99;q.19;q.19.99;q.20;q.21.1;q.21.2;q.21.3;q.21.4;q.21.5;q.21.6;q.21.7;q.21.8;q.21.9;q.22;q.23;q.24;q.25.1;q.25.2;q.25.3;q.25.4;q.25.5;q.25.6;q.25.7;q.25.8;q.25.9;q.25.10;q.25.11;q.25.12;q.25.13;q.25.14;q.25.15;q.25.16;q.25.17;q.25.18;q.25.19;q.25.20;q.25.21;q.25.22;q.25.23;q.25.24;q.25.25;q.25.0;q.26.1;q.26.2;q.26.3;q.26.98;q.26.99;q.26.0;q.26.98.1;q.27;q.28.0;q.29;q.31.4;q.32.4;D.5.99.1.recod;D.16.1.6.recod;D.16.2.7.recod;D.21.9.recod;D.13.faixa;D.14.faixa;D.15.faixa
1200401;120040;1;12;AC;Rio Branco;Rio Branco;9222,58;418113;Grande;336038;308545;27493;1200403306082;UNIDADE DE ACOLHIMENTO SERVIÇO DE ACOLHIMENTO FAMILIAR;Rua;TAMISA;96;;MANOEL JULIAO;;69918-884;Rio Branco;AC;familiaacolhedorarbac@gmail.com;(68) 3223-6768;;;07/out/13;Família Acolhedora;-9975;-67.81;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2013;Não;;;6;;4;0;1;1;0;0;0;2;2;0;0;0;0;0;2;2;;0;;0;;0;;0;2;1;0;0;1;0;0;0;4;Não possui critério de admissão;Algumas vezes;Sim;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;;2;;1;2;2;;2,00;2,00;4,00;;1,00;1,00
1302504;130250;1;13;AM;Manacapuru;Manacapuru;7329,23;2039536;Médio;85141;60174;24967;1302503305939;UNIDADE DE ACOLHIMENTO - FAMÍLIA ACOLHEDORA;Rua;Raimundo Pacheco Teles;878;;São José;;69400-752;Manacapuru;AM;semaps_mpu@outlook.com;(92) 99148-3009;;;10/nov/14;Família Acolhedora;-3.3;-60621;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2015;Sim;468,5000;;5;;3;0;2;0;0;0;0;2;0;1;0;0;0;0;1;2;;2;;0;;0;;0;0;0;1;2;0;0;0;0;3;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;;3;;1;1;3;;2,00;1,00;3,00;2,00;1,00;1,00
1502301;150230;1;15;PA;Capitão Poço;Capitão Poço;2899,53;434556;Médio;51893;21441;30452;1502303306524;UNIDADE DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;Rua;JOSEFA ALVES BEZERRA;381;;TATAJUBA;NO MESMO ESPAÇO DA UNIDADE DE ACOLHIMENTO INSTITUCIONAL MUNICIPAL;68650-000;Capitão Poço;PA;abrigolarfeliz2017@gmail.com;(91) 99808-4500;;;15/jun/10;Família Acolhedora;-1.74222317823218E+16;-4.7065987586975104E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2011;Sim;;1;1;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;0;;0;;0;;0;0;0;0;1;0;0;0;0;1;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;;3;;2;99;2;;0,00;1,00;1,00;;1,00;1,00
1503200;150320;1;15;PA;Igarapé-açu;Igarapé-Açu;785,98;382765;Pequeno II;35887;21207;14680;1503203308388;Unidade de Acolhimento;Travessa;SETE DE SETEMBRO;3100;;CENTRO;;68725-000;Igarapé-Açu;PA;creas772017@gmail.com;(91) 3441-1304;;;12/mai/14;Família Acolhedora;-1.12953379046663E+16;-4.76255285739898E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2014;Sim;937,0000;;4;;4;1;1;0;0;0;0;2;1;0;0;0;0;1;2;0;;0;;0;;1;;0;0;0;0;2;2;0;0;0;4;Não possui critério de admissão;Algumas vezes;Sim;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;;3;;1;1;3;;2,00;2,00;4,00;3,00;1,00;1,00
1505106;150510;1;15;PA;Óbidos;Óbidos;28021,29;184339;Pequeno II;49333;25466;23867;1505103306376;UNIDADE DE ACOLHIMENTO;Travessa;LIBERDADE;0;;Fatima;;68250-000;Óbidos;PA;ucacolhimento@hotmail.com;(93) 99213-6094;;;23/jan/12;Família Acolhedora;-1.90933641788696E+16;-5551458656787870;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2012;Sim;400,0000;;14;;6;2;0;1;0;0;0;3;0;2;1;0;0;0;3;0;;15;;0;;0;;0;0;6;0;0;0;0;0;0;6;Não possui critério de admissão;Sim, sempre que há demanda;Sim;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;;3;;0;99;2;;3,00;3,00;6,00;2,00;2,00;1,00
1505635;150563;1;15;PA;Piçarra;Piçarra;3312,49;183190;Pequeno I;12697;3581;9116;1505633308394;UNIDADE DE ACOLHIMENTO;Rua;RUA PAULO FONTELES;0;;CENTRO;;68575-000;Piçarra;PA;semtps@gmail.com;(94) 43422-1309;;;02/jul/15;Família Acolhedora;-6438;-48872;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2015;Sim;937,0000;;6;;4;0;0;1;0;0;1;2;0;0;1;0;1;0;2;0;;2;;0;;0;;0;0;1;0;1;0;2;0;0;4;Não possui critério de admissão;Sim, sempre que há demanda;Não;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;;;;0;2;2;;2,00;2,00;4,00;3,00;1,00;1,00
1506807;150680;1;15;PA;Santarém;Santarém;22887,08;484523;Grande;294580;215790;78790;1506803308526;Unidade de Acolhimento - Serviço de Acolhimento em Família Acolhedora;Avenida;Sérgio Henn;838;;Aeroporto Velho;O Serviço fica localizado no prédio da Secretaria Municipal de Trabalho e Assistência Social (SEMTRAS) que fica ao lado da Prefeitura Municipal de Santarém.;68020-250;Santarém;PA;contatofamiliaacolhedora@gmail.com;(93) 2101-5130;201;;18/mar/14;Família Acolhedora;-2.43882886768902E+16;-5.47152292728424E+16;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2014;Não;;;14;;9;2;0;1;0;0;0;3;1;1;1;0;2;1;6;5;;0;;0;;0;;0;5;2;1;0;1;0;0;0;9;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;;3;;1;1;3;;3,00;6,00;9,00;;2,00;1,00
1702109;170210;1;17;TO;Araguaína;Araguaína;4000,40;278707;Grande;150484;142925;7559;1702103305126;UNIDADE DE ACOLHIMENTO - SERVIÇO DE ACOLHIMENTO EM FAMÍLIA ACOLHEDORA;Rua;Humberto de Campos;505;;SÃO JOÃO;;77807-060;Araguaína;TO;trabalhoeacaosocial@araguaina.to.gov.br;(63) 3415-2268;;(63) 9270-3070;05/mai/11;Família Acolhedora;-7195818078994710;-4819760084152220;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2013;Sim;937,0000;;5;;4;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;;0;;1;;0;;0;0;0;4;0;0;0;0;0;4;Não possui critério de admissão;Sim, sempre que há demanda;Sim;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;;2;;1;1;3;;0,00;4,00;4,00;3,00;1,00;1,00
1705508;170550;1;17;TO;Colinas do Tocantins;Colinas do Tocantins;843,84;278707;Pequeno II;30838;29607;1231;1705503306371;UNIDADE DE ACOLHIMENTO - FAMÍLIA ACOLHEDORA PARA CRIANÇAS E ADOLESCENTES.;Rua;3;1755;;CENTRO;PRÓXIMO AO BANCO BRADESCO.;77760-000;Colinas do Tocantins;TO;semas@colinas.to.gov.br;(63) 3476-7042;;;28/mar/11;Família Acolhedora;-8056255211402520;-484768295288086;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2011;Não;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;1;;0;;0;0;0;0;0;0;0;0;0;0;Não possui critério de admissão;Sim, sempre que há demanda;Sim;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;;;1;3;99;3;;0,00;0,00;0,00;;1,00;1,00
1706100;170610;1;17;TO;Cristalândia;Cristalândia;1848,23;116002;Pequeno I;7234;5924;1310;1706103306579;UNIDADE DE ACOLHIMENTO FAMILIAR;Rua;Praça Pedro Bráz;1;Em frente a Praça Pedro Bráz;Centro;Praça Pedro Bráz;77490-000;Cristalândia;TO;semas.cristalandia@gmail.com;(63) 3354-0389;;(63) 3354-0389;20/set/10;Família Acolhedora;-10.6;-49193;Crianças/adolescentes;Governamental;;;;;;;;;;;9999;Municipal;;;;;;Sim, por lei;2014;Sim;500,0000;;7;;3;0;0;1;0;0;0;1;1;0;0;0;1;0;2;4;;0;;0;;0;;0;0;0;1;1;0;1;0;0;3;Não possui critério de admissão;Sim, sempre que há demanda;Não;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;;1;;0;2;99;;1,00;2,00;3,00;2,00;1,00;1,00
