Variável;Descrição
NU_IDENTIFICADOR;Número Identificador da Unidade no CadSUAS
IBGE;Código IBGE do Município
IBGE7;Código IBGE com Dígito Verificador
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
ident_nome;ident_nome - Nome que identifica a unidade:
ident_tplog;ident_tplog - Selecione o Tipo de Logradouro (avenida, rua, etc):
ident_log;ident_log - Endereço:
ident_numero;ident_numero - Número:
ident_comp;ident_comp - Complemento:
ident_bairro;ident_bairro - Bairro:
ident_cep;ident_cep - CEP:
ident_municipio;ident_municipio - Município:
ident_uf;ident_uf - UF:
ident_tel;ident_tel - DDD - Telefone:
ident_ramal;ident_ramal - Ramal:
ident_fax;ident_fax - Fax:
ident_dt_imp;ident_dt_imp - Data de Implantação desta Unidade:
coord_latitude;Coordenadas Geográficas - Latitude:
coord_longitude;Coordenadas Geográficas - Longitude:
q1;q1 - Dados provenientes da gestão estadual ou municipal:
q2_1;q2_1 - Público atendido - Criança/Adolescentes com deficiência e com algum grau de dependência e suas famílias
q2_2;q2_2 - Público atendido - Adultos com deficiência e com algum grau de dependência e suas famílias
q2_3;q2_3 - Público atendido - Idosos com deficiência e suas famílias
q2_4;q2_4 - Público atendido - Idosos com algum grau de dependência (sem deficiência) e suas famílias
q3_1;q3_1 - Horário de funcionamento: dias por semana
q3_2;q3_2 - Horário de funcionamento: horas por dia
q4;q4 - Indique a Natureza desta Unidade:
q6;q6 - Esta entidade faz parte de alguma rede/federação nacional, estadual ou regional de entidades de defesa e apoio às pessoas com deficiência e suas famílias?
q7;q7 - Rede ou Federação Nacional - Caso sim, informe qual:
q7_qual;q7_qual - Rede ou Federação Nacional - Outras - Qual?
q8;q8 - A entidade recebe recursos financeiros do poder público visando à manutenção desse Centro Dia?
q9_0;q9_0 - Entidade outras formas de apoio - Não recebe nenhuma outra forma de apoio do poder público municipal
q9_1;q9_1 - Entidade outras formas de apoio - Cessão de recursos humanos
