Variável;Descrição
IBGE7;Código IBGE com Dígito Verificador
IBGE;Código IBGE do Município
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
Capital;
RM;Municípios localizados em regiões metropolitanas_2010
Qual_RM;Classificação da região metropolitana_2010
Nome_RM;Nome da região metropolitana_2010
NºIDENTIFICADOR;Número Identificador da Unidade
ident.1.Nome;ident_1Nome que identifica o CRAS:
ident.2.TPLog;ident_2Selecione o Tipo de Logradouro (avenida, rua, etc):
ident.3.Endereço;ident_3Endereço:
ident.4.Núm;ident_4Número:
ident.5.Comp;ident_5Complemento:
ident.6.Bairro;ident_6Bairro:
ident.7.PTRef;ident_7Ponto de Referência:
ident.8.CEP;ident_8CEP:
ident.9.Município;ident_9Município:
ident.10.UF;ident_10UF:
ident.11.Email;ident_11E-mail:
ident.12.Tel;ident_12DDD - telefone
ident.13.Ramal;ident_13Ramal:
ident.14.FAX;ident_14FAX:
ident.15.DTImp;Data de implantação do CRAS
q1; q1 Localização:
q2; q2 Este CRAS é uma unidade com capacidade de referenciamento para até:
q3.1; q3.1 Horário de Funcionamento_Dias por Semana
q3.2; q3.2 Horário de Funcionamento_Horas por dia
Latitude; Latitude Latitude:
Longitude; Longitude Longitude:
q4; q4 Situação do imóvel onde se localiza o CRAS
q5; q5 O imóvel de funcionamento deste CRAS é compartilhado
q6.1; q6.1 Compartilha Imóvel_Secretaria da Assistência Social ou congênere
q6.2; q6.2 Compartilha Imóvel_Outra unidade administrativa (Sede de Prefeitura, Administração Regional, Sub-prefeitura, etc)
q6.3; q6.3 Compartilha Imóvel_Conselho Municipal de Assistência Social
q6.4; q6.4 Compartilha Imóvel_Conselho Tutelar
q6.5; q6.5 Compartilha Imóvel_CREAS? Centro de Referência Especializado de Assistência Social
q6.6; q6.6 Compartilha Imóvel_Outra unidade pública de serviços da Assistência Social
q6.7; q6.7 Compartilha Imóvel_Unidade de Saúde
q6.8; q6.8 Compartilha Imóvel_Escola
q6.9; q6.9 Compartilha Imóvel_Associação Comunitária
q6.10; q6.10 Compartilha Imóvel_Entidades privadas/ONG
q6.11; q6.11 Compartilha Imóvel_Praça do CEU (esporte e/ou cultura)
q6.12; q6.12 Compartilha Imóvel_Conselho Municipal de Direitos da Criança e do Adolescente CMDCA
q6.99; q6.99 Compartilha Imóvel_Outros
q6.qual; q6.qual Compartilha Imóvel_Outros_Especifique o tipo de unidade com a qual este CRAS compartilha seu imóvel. - Qual?
q7.1; q7.1 Espaços Compartilhados_Apenas o endereço é o mesmo, mas todos os espaços do CRAS são independentes e de uso exclusivo, inclusive a entrada
q7.2; q7.2 Espaços Compartilhados_Entrada / Porta de Acesso
q7.3; q7.3 Espaços Compartilhados_Recepção
q7.4; q7.4 Espaços Compartilhados_Cozinha
q7.5; q7.5 Espaços Compartilhados_Algumas salas de atendimento particularizado
q7.6; q7.6 Espaços Compartilhados_Todas as salas de atendimento particularizado
