Variável;Descrição
IBGE7;Código IBGE com Dígito Verificador
IBGE;Código IBGE
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
NU_identificador;NU_identificador
ident1;ident1.Nome que identifica o CREAS:
ident2;ident2.Selecione/Indique o Tipo de Logradouro (avenida, rua, etc):
ident3;ident3.Endereço:
ident4;ident4.Número:
ident5;ident5.Complemento:
ident6;ident6.Bairro:
ident7;ident7.Ponto de Referência:
ident8;ident8.CEP:
ident9;ident9.Município:
ident10;ident10.UF:
ident11;ident11.E-mail:
ident12;ident12.DDD - Telefone:
ident13;ident13.Ramal:
ident14;ident14.Fax:
ident15;ident15.Data de Implantação do CREAS:
q1;q1.Localização:
q2;q2.Tipo de CREAS:
q2.3.1.1; q2.3.1.1 Indique como está organizada a gestão administrativa do CREAS:Estado
q2.3.1.2; q2.3.1.2 Indique como está organizada a gestão administrativa do CREAS:Município Sede
q2.3.1.3; q2.3.1.3 Indique como está organizada a gestão administrativa do CREAS:Município Vínculado
q2.3.1.0; q2.3.1.0 Indique como está organizada a gestão administrativa do CREAS:Não possui/Não se aplica
q2.3.2.1; q2.3.2.1 Indique como está organizada a gestão administrativa do CREAS:Estado
q2.3.2.2; q2.3.2.2 Indique como está organizada a gestão administrativa do CREAS:Município Sede
q2.3.2.3; q2.3.2.3 Indique como está organizada a gestão administrativa do CREAS:Município Vínculado
q2.3.2.0; q2.3.2.0 Indique como está organizada a gestão administrativa do CREAS:Não possui/Não se aplica
q2.3.3.1; q2.3.3.1 Indique como está organizada a gestão administrativa do CREAS:Estado
q2.3.3.2; q2.3.3.2 Indique como está organizada a gestão administrativa do CREAS:Município Sede
q2.3.3.3; q2.3.3.3 Indique como está organizada a gestão administrativa do CREAS:Município Vínculado
q2.3.3.0; q2.3.3.0 Indique como está organizada a gestão administrativa do CREAS:Não possui/Não se aplica
q2.3.4.1; q2.3.4.1 Indique como está organizada a gestão administrativa do CREAS:Estado
q2.3.4.2; q2.3.4.2 Indique como está organizada a gestão administrativa do CREAS:Município Sede
q2.3.4.3; q2.3.4.3 Indique como está organizada a gestão administrativa do CREAS:Município Vínculado
q2.3.4.0; q2.3.4.0 Indique como está organizada a gestão administrativa do CREAS:Não possui/Não se aplica
q.2.4;q.2.4 Indique abaixo como se dá o repasse de recursos financeiros pelo Estado para manutenção e funcionamento dos serviços deste CREAS Regional:
q2.5;q2.5 Em caso de deslocamento das famílias/indivíduos para a sede deste CREAS Regional, existe apoio para este deslocamento?
p_latitude;Latitude:
p_longitude;Longitude:
q3.1;q3.1 Horário de funcionamento - Dias por semana:
q3.2;q3.2 Horário de funcionamento - Horas por dia:
q4;q4 Situação do imóvel onde se localiza o CREAS:
q5;q5 O imóvel de funcionamento deste CREAS é compartilhado?
q6.1;q6.1 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel1 Secretaria da Assistência Social ou congênere
q6.2;q6.2 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel2 Outra unidade administrativa (Sede de Prefeitura, Administração Regional, Sub-Prefeitura, etc.)
q6.3;q6.3 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel3 Conselho Municipal de Assistência Social
q6.4;q6.4 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel4 CRAS ? Centro de Referência de Assistência Social
q6.5;q6.5 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel5 Centro POP - Centro de Referência Especializado para População em Situação de Rua
q6.6;q6.6 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel6 Unidade de Acolhimento institucional (Abrigo)
q6.7;q6.7 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel7 Outra unidade pública de serviços da Assistência Social
q6.8;q6.8 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel8 Unidade de Saúde
q6.9;q6.9 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel9 Centro de Referência de Atendimento à Mulher (CRAM)
q6.10;q6.10 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel10 ONG/Entidade/ Associação Comunitária
q6.11;q6.11 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel11 Conselho Tutelar
q6.12;q6.12 Especifique o tipo de unidade com a qual este CREAS compartilha o Imóvel12 Delegacia Especializada
