Variável;Descrição
NU_IDENTIFICADOR;Número Identificador da Unidade no CadSUAS
IBGE;Código IBGE do Município
IBGE7;Código IBGE com Dígito Verificador
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
ident_nome;ident_nome - Nome que identifica a unidade
ident_tplog;ident_tplog - Selecione o Tipo de Logradouro (avenida, rua, etc)
ident_log;ident_log - Endereço
ident_numero;ident_numero - Número
ident_comp;ident_comp - Complemento
ident_bairro;ident_bairro - Bairro
ident_cep;ident_cep - CEP
ident_municipio;ident_municipio - Município
ident_uf;ident_uf - UF
ident_tel;ident_tel - DDD - Telefone
ident_ramal;ident_ramal - Ramal
ident_fax;ident_fax - FAX
ident_dt_imp;ident_dt_imp - Data de Implantação da Unidade
coord_latitude;Coordenadas Geográficas - Latitude
coord_longitude;Coordenadas Geográficas - Longitude
q1;q1 - Dados provenientes da gestão estadual ou municipal:
q2;q2 - Natureza desta unidade:
q4;q4 - A entidade possui Convênio/Termo de Parceria com o poder público municipal para repasse de recursos financeiros, visando à manutenção do Serviço de Convivência e Fortalecimento de Vínculos?
q5;q5 - Localização:
q6_1;q6_1 - Informe o horário de funcionamento do SCFV na unidade - dias por semana
q6_2;q6_2 - Informe o horário de funcionamento do SCFV na unidade - horas por dia
q7_1;q7_1 - Crianças de 0 a 6 anos de idade - Oferta o Serviço?
q7_2;q7_2 - Crianças e adolescentes de 7 a 14 anos de idade - Oferta o Serviço?
q7_3;q7_3 - Jovens de 15 a 17 anos de idade - Oferta o Serviço?
q7_4;q7_4 - Adultos de 18 a 29 anos de idade - Oferta o Serviço?
q7_5;q7_5 - Adultos de 30 a 59 anos de idade - Oferta o Serviço?
q7_6;q7_6 - Idosos (60 anos ou mais) - Oferta o Serviço?
q8;q8 - Este imóvel é utilizado exclusivamente para oferta do Serviço de Convivência e Fortalecimento de Vínculos?
q9_0;q9_0 - Local de funcionamento outro serviço de Assistência Social - Não
