Variável;Descrição
IBGE7;Código IBGE com Dígito Verificador
IBGE;Código IBGE do Município
IBGE;Código IBGE do Município
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
NU_IDENTIFICADOR;Número Identificador da Unidade no CadSUAS
q31_dt_nasc;q31_dt_nasc - Data de Nascimento
q31_sexo;q31_sexo - Sexo
q31_esc;q31_esc - Escolaridade
q31_prof;q31_prof - Profissão
q31_vinc;q31_vinc - Vínculo
q31_func;q31_func - Função
q31_carga_horaria;q31_carga_horaria - Carga horária SEMANAL
q31_dt_func;q31_dt_func - Início do exercício da função
Incompletos;Questionário Incompleto adicionado à base
Duplicado;Trabalhadores com duplicações
q31_func_original;Original - q31_func - Função
q31_prof_original;Original - q31_prof - Profissão
d31_idade;d31_idade - Idade em anos (data ref. 31/12/2017)
d31_idade_categoria;d31_idade_Idade (faixas etárias)
d31_esc;d31_esc - Níveis de escolaridade
d31_vinc;d31_vinc - Tipo de vínculo
d31_nv_fund;d31_nv_fund - Nível fundamental - trabalhadores que possuem até o nível médio (inclui aqueles sem escolaridade)
d31_nv_med;d31_nv_med - Nível médio - trabalhadores com ensino superior incompleto e ensino médio completo
d31_nv_sup;d31_nv_sup - Nível superior - inclui trabalhadores graduados, com especialização, mestrado ou doutorado
d31_pedagogo;d31_pedagogo - Pedagogo
d31_ass_social;d31_ass_social - Assistente Social
d31_antropologo;d31_antropologo - Antropólogo
d31_advogado;d31_advogado - Advogado
d31_psicologo;d31_psicologo - Psicólogo
d31_estatutario;d31_estatutario - Servidor Estatutário
d31_clt_publico;d31_clt_publico - Empregado Público (CLT)
d31_comissionado;d31_comissionado - Comissionado
d31_outros_vinc;"d31_outros_vinc - Outros vínculos não permanentes - inclui Trabalhador de Empresas/Cooperativa/Entidade Prestadora de Serviços; Voluntários; Servidor Temporário; Sem vínculo; Terceirizado e Outro vínculo não permanente"
