IBGE;NU_IDENTIFICADOR;ident_nome;ident_tplog;ident_log;ident_numero;ident_comp;ident_bairro;ident_cep;ident_municipio;ident_uf;ident_email;ident_tel;ident_ramal;ident_fax;ident_dt_imp;q25
53;5300103400025;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO MARIA DA CONCEIÇÃO;2;Área de Expansão - quadra 03 lote J;Lt J;Parque Urbano;Setor Norte - Gama;72430400;BRASILIA;DF;maria.asmac@gmail.com;(61) 33846265;;;08/06/1994;ALEM DAS DO ITEM 24, ALFABETIZAÇÃO PARA IDOSOS.
53;5300103400026;CENTRO DE CONVIVÊNCIA OBRAS BENEDITA CAMBIAGIO;2;AREA ESPECIAL Q.07;7;LOTE C;SETOR SUL - GAMA;72410420;BRASILIA;DF;beneditinas@gmail.com;(61) 39640097;0;;12/05/2001;OFICINAS SOCIOEDUCATIVAS DE LEITURA, VALORES, EDUCAÇÃO FÍSICA, CAPOEIRA, RECREAÇÃO, CULINÁRIA, CRIATIVIDADE, INFORMÁTICA, TEATRO, DANÇA, MÚSICA, FESTIVIDADES COM A FAMÍLIA (FESTA DA FAMÍLIA. FESTA JUNINA, NATAL).
53;5300103400028;CENTRO DE CONVIVÊNCIA OBRAS DE PROMOÇÃO E ASSISTÊNCIA À INFÂNCIA E À ADOLESCÊNCIA - CENOL - CENTRO ESPÍRITA NOSSO LAR;2;ÁREA ESPECIAL 01;19;LADO OESTE - GAMA;SETOR CENTRAL;72405125;BRASILIA;DF;cenol@cenol.org.br;(61) 30266982;;;18/09/1978;Atividades pedagógicas com o intuito de desenvolver o raciocínio lógico, rodas de conversa sobre ética e moral, visando fortalecer a criança como agente de transformação da sua história, cine debate para trabalhar temas atuais, esportes e atividades artísticas como desenhos e pinturas
53;5300103400030;CENTRO DE CONVIVÊNCIA INSTITUTO APRENDER;2;Área Especial Parque Vivencial Urbano;s/n;;Paranoá;71570400;BRASILIA;DF;aprenderinstituto@yahoo.com.br;(61) 33696520;;;22/10/1999;Além das supracitadas são realizadas atividades específicas de psicologia, fonoaudiologia, psicomotricidade, pedagogia recuperativa e psicopedagogia
53;5300103401419;CENTRO DE CONVIVÊNCIA LAR FABIANO DE CRISTO / CASA DE LÍVIA;12;Córrego do Atoleiro-Estrada Vale;0;Às margens do Córrego Atoleir;Arapoanga;73370100;BRASILIA;DF;antonia.sousa@lfc.org.br;(61) 34891344;;34891345;02/12/1972;Palestras, debates, seminários, promoção de atividades externas, visitas, passeios, cursos de capacitação profissional. Oficinas sobre diversos temas. Atividades de artesanato
53;5300103401720;CENTRO DE CONVIVÊNCIA OBRAS SOCIAIS SÃO SEBASTIÃO DE BRAZLÂNDIA;28;ENTRE QUADRA 02/04 ;2;Setor norte;SETOR NORTE;72710026;BRASILIA;DF;ospssb@hotmail.com;(61) 34793259;;;13/02/1972;"Desenvolvemos atividades nas modalidades de artes plásticas, artes cências, músicas, informáticas, meio ambiente, esporte e lazer, acompanhamento nos deveres de casa, momentos de relaxamento , reflesão e atendimentos assistenciais. As atividades são desenvolvidas de forma sistemáticas, prmovendo um ambiente de integração, onde as oficinas realizadas partem da realidade e do ponto de vista de cada indivíduo. Desenvolvimento geral das crianças e dos adolescentes em todos os seus aspectos. Oralidade, responsabilidade, expressividade,coordenação motora, sociabilidade, ampliação de seus conhecimentos lúdicos, pedagógicos, recreativos, sociais e culturais , aperfeiçoamento das habilidades, estimulação: cognitiva, musical, corporal e artística.
Participação dos usuários em passeios e exposições, peças teatrais , eventos culturais, realização de atividades de integração entre criança e família, reuniões mensais com as famílias, palestras educativas e festas comemorativas. Estas atividades atribuem novos conceitos aos participantes facilitando a comunicação e expressão, a interação, o comportamento social e emocional, a criatividade, o crescimento pessoal e sociocultural, e ainda a valorização da autoestima e o fortalecimento de vículos familiares."
53;5300103401721;CENTRO DE CONVIVÊNCIA GAMA LESTE;28;Entrequadra 08/10 Área Especial;0;;Setor Leste do Gama;72450085;BRASILIA;DF;cosegamaleste@sedestmidh.df.gov.br;(61) 35560042;;;11/10/2009;OFICINA DE ARTES, ESPORTE E LAZER, ARTESANOTO, DIREITOS HUMANOS E SOCIAIS, ATIVIDADES RECREATIVAS E LÚDICAS, PASSEIOS CULTURAIS, EVENTOS COMUNITÁRIOS, REUNIÕES E PALESTRAS COM AS FAMÍLIAS DOS USUÁRIOS ATENDIDOS, ATIVIDADES INTERGERACIONAIS COM FOCO NA CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS SOCIAIS, FAMILIARES E COMUNITÁRIOS.
53;5300103401722;CENTRO DE CONVIVÊNCIA SANTA MARIA;28;EQ 209/309 - Área Especial B Sul;0;;Santa Maria;72509300;BRASILIA;DF;cosesmaria@sedestmidh.df.gov.br;(61) 33952160;;;11/11/2009;ATIVIDADES DE INTERVENÇÃO SOCIAL PLANEJADAS, QUE CRIAM SITUAÇÕES DESAFIADORAS, ESTIMULAM E ORIENTAM OS USUÁRIOS NA CONSTRUÇÃO E RECONSTRUÇÃO DE SUAS HISTÓRIAS E VIVÊNCIAS INDIVIDUAIS E COLETIVAS, NA FAMÍLIA E NO TERRITÓRIO
53;5300103401724;CENTRO DE CONVIVÊNCIA ASSOCIAÇÃO DE APOIO À FAMÍLIA, AO GRUPO E A COMUNIDADE/AFAGO-DF;28;QI 06 lotes 20/80;20/80;SETOR INDUSTRIAL;GAMA LESTE;72450060;BRASILIA;DF;afagodf@gmail.com;(61) 33840156;;;12/10/1994;Esporte, formação humana, projeto de incentivo a leitura, esforço escolar, artesanato, informática, dança e capoeira
53;5300103401726;CENTRO DE CONVIVÊNCIA ASSISTÊNCIA SOCIAL CASA AZUL;28;QN 311 Conjunto 3 Area Especial 0;3;Samambaia Sul;Samambaia;72307000;BRASILIA;DF;atendimento@casazul.org.br;(61) 33594874;;;22/09/1999;ATIVIDADES COMO: BALLET, HIP-HOP, ESPORTES, INFORMÁTICA, INCENTIVO AOS ESTUDOS, ORQUESTRA, JOGOS LÓGICOS E TABULEIROS, SUSTENTABILIDADE (MEIO AMBIENTE), MOBILIZAÇÃO PARA CONFERENCIA DE ASSISTÊNCIA SOCIAL.
