Variável;Descrição
NU_IDENTIFICADOR;Id CREAS
IBGE;Código IBGE
IBGE7;Código IBGE com Dígito Verificador
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
ident.1;q0.1. Nome que identifica o Centro POP:
ident.2;q0.2. Selecione/Indique o Tipo de Logradouro (avenida, rua, etc):
ident.3;q0.3. Endereço:
ident.4;q0.4. Número:
ident.5;q0.5. Complemento:
ident.6;q0.6. Bairro:
ident.7;q0.7. Ponto de Referência:
ident.8;q0.8. CEP:
ident.9;q0.9. Município:
ident.10;q0.10. UF:
ident.11;q0.11. E-mail:
ident.12;q0.12. DDD - Telefone:
ident.13;q0.13. Ramal:
ident.14;q0.14. Fax:
ident.15;q0.15. Data de implantação do Centro POP:
p.latitude;qLatitude
p.longitude;qLongitude
q1.1;q1.1. Horário de funcionamento - Dias por semana:
q1.2;q1.2. Horário de funcionamento - Horas por dia:
q2;q2. Situação do imóvel onde se localiza a unidade:
q3;q3. O imóvel de funcionamento desta Unidade é compartilhado?
q4.1;q1: Secretaria da Assistência Social ou congênere
q4.2;q2: Outra unidade administrativa (Sede de Prefeitura, Administração Regional, Sub-Prefeitura etc)
q4.3;q3: Conselho Municipal de Assistência Social
q4.4;q4: CRAS – Centro de Referência de Assistência Social
q4.5;q5: CREAS – Centro de Referência Especializado de Assistência Social
q4.6;q6: Unidade de Acolhimento institucional (Abrigo)
q4.7;q7: Outra unidade pública de serviços da Assistência Social
q4.8;q8: ONG/Entidade/Associação Comunitária
q4.99;q99: Outros
q4.qual;q4.1. Qual?
q5.1;q1: Apenas o endereço é o mesmo, mas todos os espaços do Centro de Referência para População em Situação de Rua são independentes e de uso exclusivo, inclusive a entrada
q5.2;q2: Entrada / Porta de Acesso
q5.3;q3: Recepção
q5.4;q4: Algumas salas de atendimento
q5.5;q5: Todas as salas de atendimento
q5.6;q6: Salas administrativas
q5.7;q7: Espaço para atividades coletivas
q5.8;q8: Banheiros
q5.9;q9: Copa/cozinha
q5.10;q10: Área Externa
q5.11;q11: Almoxarifado ou similar
q5.12;q12: Refeitório
q5.13;q13: Lavanderia
q5.14;q14: Espaço para guarda de pertences
q5.99;q99: Outros
q6.1;q6.1. Quantidade de Salas com capacidade máxima de 5 pessoas
q6.2;q6.2. Quantidade de Salas com capacidade para 6 a 14 pessoas
q6.3;q6.3. Quantidade de Salas com capacidade para 15 a 29 pessoas
q6.4;q6.4. Quantidade de Salas com capacidade para 30 ou mais pessoas
q6.5;q6.5. Salas exclusivas de Coordenação, equipe técnica ou administração (não são salas de atendimento!)
q6.6;q6.6. Banheiro de uso exclusivo dos trabalhadores do Centro POP
q6.7;q6.7. Banheiro para uso dos usuários do Centro POP
q6.8;q6.8. Espaço para higiene pessoal (Box com chuveiros individualizados)
q6.9;q6.9. Possui Recepção?
q6.10;q6.10. Possui Cozinha/Copa?
q6.11;q6.11. Possui Almoxarifado ou similar?
q6.12;q6.12. Possui espaço externo para atividades coletivas e/ou comunitárias?
q6.13;q6.13. Possui Refeitório?
q6.14;q6.14. Possui Lavanderia?
q6.15;q6.15. Possui espaço para guarda de pertences?
q6.16;q6.16. Possui espaço para animais de estimação?
q7.1;q7.1. Acesso principal adaptado com rampas e rota acessível desde a calçada até a recepção da Unidade
q7.2;q7.2. Rota acessível aos principais espaços da Unidade (recepção, sala de atendimentos e espaço(s) para atividades coletivas)
q7.3;q7.3. Rota acessível ao banheiro
q7.4;q7.4. Banheiro adaptado para pessoas com dificuldades de locomoção
q8.1;q1: Sim, suporte de profissional com conhecimento em LIBRAS
q8.2;q2: Sim, suporte de material em braille
q8.3;q3: Sim, suporte para leitores de telas de computador para pessoas com deficiência visual
q8.4;q4: Sim, outras adaptações e tecnologias assistivas para deficiência física
q8.5;q5: Sim, outras adaptações e tecnologias assistivas para deficiência intelectual e autismo
q8.6;q6: Sim, pisos especiais com relevos para sinalização voltados pessoa com deficiência visual
q8.7;q7: Não há outras adaptações
q8.4.qual;q8.1. Qual? - Tecnologias Assistivas para Deficiência Física
q8.5.qual;q8.2. Qual? - Tecnologias Assistivas para Deficiência Intelectual e Autismo
q9.1.1;q9.1.1. Telefone - Disponível na Unidade
q9.1.2;q9.1.2. Telefone - Disponível aos Usuários
q9.2.1;q9.2.1. Impressora - Disponível na Unidade
q9.2.2;q9.2.2. Impressora - Disponível aos Usuários
q9.3.1;q9.3.1. Máquina Copiadora - Disponível na Unidade
q9.3.2;q9.3.2. Máquina Copiadora - Disponível aos Usuários
q9.4.1;q9.4.1. Televisão (TV) - Disponível na Unidade
q9.4.2;q9.4.2. Televisão (TV) - Disponível aos Usuários
