Variável;Descrição
IBGE;Código IBGE do estado
UF_n;UF
Região;Região
Pop_Total2010;População total do estado
Quant_municipios;Quantidade de municípios do estado
ident.1;Nome que identifica o Conselho:
ident.2;Selecione o Tipo de Logradouro (avenida, rua, etc):
ident.3;Endereço:
ident.4;Número:
ident.5;Complemento:
ident.6;Bairro:
ident.7;Ponto de Referência:
ident.8;CEP:
munic;Município:
ident.9;UF:
ident.10;E-mail:
ident.11;DDD - Telefone:
ident.12;Ramal:
ident.13;FAX:
p.latitude;p.latitude
p.longitude;p.longitude
q1; q1  Informe o ano de publicação da Lei que criou o Conselho:
q1.99; q1.99  Não está criado em Lei
q2; q2  Houve alteração da Lei original por alguma Lei posteriormente aprovada?
q3; q3  Caso sim, informe o ano da Lei que alterou a Lei original de criação do Conselho:
q4; q4  Esse conselho possui regimento interno?
q5; q5  Caso sim, informe o ano da última atualização do Regimento:
q6.1.1; q6.1.1  Lei do Conselho
q6.1.2; q6.1.2  Regimento Interno
q6.1.3; q6.1.3  Outras normativas
q6.1.0; q6.1.0  Não está normatizado
q6.2.1; q6.2.1  Lei do Conselho
q6.2.2; q6.2.2  Regimento Interno
q6.2.3; q6.2.3  Outras normativas
q6.2.0; q6.2.0  Não está normatizado
q6.3.1; q6.3.1  Lei do Conselho
q6.3.2; q6.3.2  Regimento Interno
q6.3.3; q6.3.3  Outras normativas
q6.3.0; q6.3.0  Não está normatizado
q6.4.1; q6.4.1  Lei do Conselho
q6.4.2; q6.4.2  Regimento Interno
q6.4.3; q6.4.3  Outras normativas
q6.4.0; q6.4.0  Não está normatizado
q6.5.1; q6.5.1  Lei do Conselho
q6.5.2; q6.5.2  Regimento Interno
q6.5.3; q6.5.3  Outras normativas
q6.5.0; q6.5.0  Não está normatizado
q6.6.1; q6.6.1  Lei do Conselho
q6.6.2; q6.6.2  Regimento Interno
q6.6.3; q6.6.3  Outras normativas
q6.6.0; q6.6.0  Não está normatizado
q6.7.1; q6.7.1  Lei do Conselho
q6.7.2; q6.7.2  Regimento Interno
q6.7.3; q6.7.3  Outras normativas
q6.7.0; q6.7.0  Não está normatizado
q6.8.1; q6.8.1  Lei do Conselho
q6.8.2; q6.8.2  Regimento Interno
q6.8.3; q6.8.3  Outras normativas
q6.8.0; q6.8.0  Não está normatizado
q6.9.1; q6.9.1  Lei do Conselho
q6.9.2; q6.9.2  Regimento Interno
q6.9.3; q6.9.3  Outras normativas
q6.9.0; q6.9.0  Não está normatizado
q6.10.1; q6.10.1  Lei do Conselho
q6.10.2; q6.10.2  Regimento Interno
q6.10.3; q6.10.3  Outras normativas
q6.10.0; q6.10.0  Não está normatizado
q6.11.1; q6.11.1  Lei do Conselho
q6.11.2; q6.11.2  Regimento Interno
q6.11.3; q6.11.3  Outras normativas
q6.11.0; q6.11.0  Não está normatizado
q6.12.1; q6.12.1  Lei do Conselho
q6.12.2; q6.12.2  Regimento Interno
q6.12.3; q6.12.3  Outras normativas
q6.12.0; q6.12.0  Não está normatizado
q6.13.1; q6.13.1  Lei do Conselho
q6.13.2; q6.13.2  Regimento Interno
q6.13.3; q6.13.3  Outras normativas
q6.13.0; q6.13.0  Não está normatizado
q6.14.1; q6.14.1  Lei do Conselho
q6.14.2; q6.14.2  Regimento Interno
