IBGE;UF_n;Região;Pop_Total2010;Quant_municipios;q81.3;q81.5;q81.6;q81.7;q81.8;q81.9;Idade;Faixas.etarias;TempoMandato;d81.5;d81.5bin1;d81.5bin2;d81.5bin3;d81.6bin1;d81.6bin2;d81.6bin3;d81.6bin4;d81.6bin1.TIT;d81.6bin1.SUPL;d81.6bin2.TIT;d81.6bin2.SUPL;d81.6bin3.TIT;d81.6bin3.SUPL;d81.6bin4.TIT;d81.6bin4.SUPL;d81.6bin1.sum;d81.6bin2.sum;d81.6bin3.sum;d81.6bin4.sum;d81.6bin1.TIT.sum;d81.6bin1.SUPL.sum;d81.6bin2.TIT.sum;d81.6bin2.SUPL.sum;d81.6bin3.TIT.sum;d81.6bin3.SUPL.sum;d81.6bin4.TIT.sum;d81.6bin4.SUPL.sum;nu.conselheiros
11;RO;Norte;1562409;52;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Suplente;31/mar/17;31/mar/19;63;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;;1,00;;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;254;Governamental Outras areas;Conselheiro Suplente;31/mar/17;31/mar/19;21;18 a 29 anos;2;Nível Médio;;Nível Médio;;;;;Representante do Governo;;;;;;;;1,00;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;M;253;Governamental Outras areas;Conselheiro Suplente;31/mar/17;31/mar/19;38;30 a 40 anos;2;Nível fundamental;Nível fundamental;;;;;;Representante do Governo;;;;;;;;1,00;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;31/mar/17;31/mar/19;67;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Governamental Assistencia Social;Conselheiro Titular;31/mar/17;31/mar/19;60;51 a 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;M;260;Sociedade Civil - organizacoes dos trabalhadores;Conselheiro(a) Presidente;31/mar/17;31/mar/19;37;30 a 40 anos;2;Nível Superior;;;Nível Superior;;;Representante de organização dos trabalhadores;;;;;;1,00;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;260;Governamental Outras areas;Vice-Presidente;31/mar/17;31/mar/19;67;Mais de 60 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;1,00;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Sociedade Civil - organizacoes dos usuarios;Conselheiro Suplente;31/mar/17;31/mar/19;59;51 a 60 anos;2;Nível Superior;;;Nível Superior;Representante de usuários e organização de usuários;;;;;1,00;;;;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Governamental Outras areas;Conselheiro Suplente;31/mar/17;31/mar/19;47;41 a 50 anos;2;Nível Superior;;;Nível Superior;;;;Representante do Governo;;;;;;;;1,00;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
11;RO;Norte;1562409;52;F;257;Sociedade Civil - das entidade e Organizacoes de Ass. Social;Conselheiro Titular;31/mar/17;31/mar/19;41;41 a 50 anos;2;Nível Superior;;;Nível Superior;;Representante de Entidades de Assistência Social;;;;;1,00;;;;;;2,00;4,00;3,00;8,00;0,00;2,00;3,00;1,00;2,00;1,00;2,00;6,00;17
