Variável;Descrição
IBGE;Código IBGE do estado
UF;UF
Região;Grande Região
Pop_Total2010;População total do estado - Censo IBGE 2010
Quant_municipios;Quantidade de municípios
Ident_1;Ident_1_Nome que identifica o órgão gestor
Ident_2;Ident_2_Selecione o Tipo de Logradouro (avenida, rua, etc)
Ident_3;Ident_3_Endereço
Ident_4;Ident_4_Número
Ident_5;Ident_5_Complemento
Ident_6;Ident_6_Bairro
Ident_7;Ident_7_Ponto de Referência
Ident_8;Ident_8_CEP
Ident_9;Ident_9_Municipio
Ident_10;Ident_10_UF
Ident_11;Ident_11_E-mail
Ident_12;Ident_12_DDD - Telefone
Ident_13;Ident_13_Ramal
Ident_14;Ident_14_Fax
p_latitude;Latitude
p_longitude;Longitude
q1;q1_De acordo com a estrutura administrativa do estado a Secretaria Estadual da Assistência Social caracteriza-se como
q2_1;q2_1_Educação
q2_2;q2_2_Planejamento
q2_3;q2_3_Saúde
q2_4;q2_4_Habitação
q2_5;q2_5_Segurança Alimentar
q2_6;q2_6_Trabalho e/ou Emprego
q2_7;q2_7_Direitos Humanos
q2_99;q2_99_Outra
q2_qual;q2_qual_A que secretaria ou setor a assistência social está associada ou subordinada? Qual?
q3_1;q3_1_Áreas ligadas à Gestão - Gestão do SUAS
q3_2;q3_2_Áreas ligadas à Gestão - Vigilância Socioassistencial (inclusive áreas de monitoramento e avaliação)
q3_3;q3_3_ Áreas ligadas à Gestão - Gestão do Trabalho
q3_4;q3_4_ Áreas ligadas à Gestão - Regulação do Suas
q3_5;q3_5_ Áreas ligadas à Gestão - Gestão Financeira e Orçamentária
q3_6;q3_6_ Áreas de Serviços e Benefícios - Proteção Social Básica
q3_7;q3_7_ Áreas de Serviços e Benefícios - Proteção Social Especial
q3_8;q3_8_ Áreas de Serviços e Benefícios - Gestão do Cadastro Único e Programa Bolsa Família
q3_9;q3_9_ Áreas de Serviços e Benefícios - Gestão de Benefícios Assistenciais (BPC, Benefícios Eventuais)
q4;q4_ A Secretaria Estadual de Assistência Social possui estruturas administrativas descentralizadas (escritórios regionais ou similares)?
q5;q5_ Quantos são os escritórios regionais (ou similares) da Assistência Social no Estado?
q6;q6_ Em que ano ocorreu a última atualização da Lei Estadual de Regulamentação do Sistema Único da Assistência Social – SUAS?
q6_99;q6_99_Não Possui Lei Estadual de Regulamentação do SUAS
q7;q7_Em que ano ocorreu a última atualização do Plano Estadual de Assistência Social (PEAS) com a respectiva aprovação pelo CEAS?
q7_99;q7_99_Não possui Plano Estadual de Assistência Social
q8;q8_Em que ano ocorreu a última atualização do Plano Estadual de Capacitação?
q8_99;q8_99_Não possui Plano Estadual de Capacitação
q9_1_1;q9_1_1_Gestão do SUAS – Profissionais de Nível Superior - Exclusivos
q9_1_2;q9_1_2_Gestão do SUAS – Profissionais de Nível Superior - Compartilhados
q9_1_3;q9_1_3_Gestão do SUAS – Profissionais de Nível Médio - Exclusivos
q9_1_4;q9_1_4_Gestão do SUAS – Profissionais de Nível Médio - Compartilhados
q9_2_1;q9_2_1_Vigilância Socioassistencial – Profissionais de Nível Superior - Exclusivos
q9_2_2;q9_2_2_Vigilância Socioassistencial – Profissionais de Nível Superior - Compartilhados
q9_2_3;q9_2_3_Vigilância Socioassistencial – Profissionais de Nível Médio - Exclusivos
q9_2_4;q9_2_4_Vigilância Socioassistencial – Profissionais de Nível Médio - Compartilhados
q9_3_1;q9_3_1_Gestão do Trabalho – Profissionais de Nível Superior - Exclusivos
q9_3_2;q9_3_2_Gestão do Trabalho – Profissionais de Nível Superior - Compartilhados
q9_3_3;q9_3_3_Gestão do Trabalho – Profissionais de Nível Médio - Exclusivos
q9_3_4;q9_3_4_Gestão do Trabalho – Profissionais de Nível Médio - Compartilhados
q9_4_1;q9_4_1_Regulação do SUAS – Profissionais de Nível Superior - Exclusivos
q9_4_2;q9_4_2_Regulação do SUAS – Profissionais de Nível Superior - Compartilhados
q9_4_3;q9_4_3_Regulação do SUAS – Profissionais de Nível Médio - Exclusivos
q9_4_4;q9_4_4_Regulação do SUAS – Profissionais de Nível Médio - Compartilhados
q9_5_1;q9_5_1_Gestão Financeira e Orçamentária – Profissionais de Nível Superior - Exclusivos
q9_5_2;q9_5_2_Gestão Financeira e Orçamentária – Profissionais de Nível Superior - Compartilhados
q9_5_3;q9_5_3_Gestão Financeira e Orçamentária – Profissionais de Nível Médio - Exclusivos
q9_5_4;q9_5_4_Gestão Financeira e Orçamentária – Profissionais de Nível Médio - Compartilhados
q9_6_1;q9_6_1_Proteção Social Básica – Profissionais de Nível Superior - Exclusivos
q9_6_2;q9_6_2_Proteção Social Básica – Profissionais de Nível Superior - Compartilhados
q9_6_3;q9_6_3_Proteção Social Básica – Profissionais de Nível Médio - Exclusivos
q9_6_4;q9_6_4_Proteção Social Básica – Profissionais de Nível Médio - Compartilhados
q9_7_1;q9_7_1_Proteção Social Especial de Média Complexidade – Profissionais de Nível Superior - Exclusivos
