Variável;Descrição
IBGE7;Código IBGE com Dígito Verificador
IBGE;Código IBGE
UF;Unidade da Federação
Município;Nome do Município.Censo IBGE 2010
Região;Grande Região
UF.S;Unidade da Federação
Pop.Total2010;População Total - Censo IBGE 2010
Pop.Urbana2010;População Urbana - Censo IBGE 2010
Pop.Rural2010;População Rural - Censo IBGE 2010
Porte.pop2010;Porte Populacional SUAS - Censo IBGE 2010
ident1.nome;ident1.Nome que identifica o órgão gestor:
ident2.tplog;ident2.Selecione o Tipo de Logradouro (avenida, rua, etc):
ident3.endereco;ident3.Endereço:
ident4.num;ident4.Número:
ident5.comp;ident5.Complemento:
ident6.bairro;ident6.Bairro:
ident7.ptref;ident7.Ponto de Referência:
ident8.cep;ident8.CEP:
ident9.mun;ident9.Município
ident10.uf;ident10.UF
ident11.email;ident11.Email:
ident12.tel;ident12.DDD - Telefone:
ident13.fax;ident13.FAX:
ident14.ramal;ident14.Ramal
coord.latitude;CoordenadasLatitude:
coord.longitude;CoordenadasLongitude:
q1;q1.De acordo com a estrutura administrativa do município o órgão gestor da assistência social caracteriza-se como:
q2.1;q2.1.Secretaria Associada.Educação
q2.2;q2.2.Secretaria Associada.Planejamento
q2.3;q2.3.Secretaria Associada.Saúde
q2.4;q2.4.Secretaria Associada.Habitação
q2.5;q2.5.Secretaria Associada.Segurança Alimentar
q2.6;q2.6.Secretaria Associada.Trabalho e/ou Emprego
q2.7;q2.7.Secretaria Associada.Direitos Humanos
q2.99;q2.99.Secretaria Associada.Outra
q2.qual;q2.qual.Secretaria Associada.Qual?
q3.1;q3.1.Subdivisões.Gestão do SUAS
q3.2;q3.2.Subdivisões.Vigilância Socioassistencial (Inclusive áreas de monitoramento e avaliação)
q3.3;q3.3.Subdivisões.Gestão do Trabalho
q3.4;q3.4.Subdivisões.Regulação do SUAS
q3.5;q3.5.Subdivisões.Gestão Financeira e Orçamentária
q3.6;q3.6.Subdivisões.Proteção Social Básica
q3.7;q3.7.Subdivisões.Proteção Social Especial
q3.8;q3.8.Subdivisões.Gestão do Cadastro Único e Programa Bolsa Família
q3.9;q3.9.Subdivisões.Gestão de Benefícios Assistenciais (Bolsa Família, BPC, Benefícios Eventuais)
q4;q4.No caso de haver subdivisão administrativa de Proteção Social Especial, ela é desmembrada entre Alta e Média Complexidade?
q5.1;q5.1.Estruturas Comunicação.Política de Comunicação da Prefeitura e/ou Órgão Gestor
q5.2;q5.2.Estruturas Comunicação.Plano de Comunicação da Prefeitura e/ou Órgão Gestor
q5.3;q5.3.Estruturas Comunicação.Carta de Serviço ao Cidadão
q5.4;q5.4.Estruturas Comunicação.Equipe própria de comunicação no órgão gestor
q5.5;q5.5.Estruturas Comunicação.Orçamento específico destinado a ações de comunicação
q5.6;q5.6.Estruturas Comunicação.Ouvidoria
q5.7;q5.7.Estruturas Comunicação.Central de Relacionamento
q5.99;q5.99.Estruturas Comunicação.Nenhum dos mecanismos acima
q6;q6.Em que ano ocorreu a última atualização da Lei Municipal de regulamentação do Sistema Único de Assistência Social ? SUAS?
q6.0;q6.0.Não possui Lei Municipal de Regulamentação do SUAS
q7.1;q7.1.Conteúdo Lei.Conceituação da assistência social
q7.2;q7.2.Conteúdo Lei.Funções da assistência social (Vigilância Socioassistencial, Proteção Social, Defesa de Direitos)
q7.3;q7.3.Conteúdo Lei.Princípios pelos quais a Assistência Social é regida
q7.4;q7.4.Conteúdo Lei.Diretrizes para organização da Assistência Social
q7.5;q7.5.Conteúdo Lei.Organização da assistência social por níveis de Proteção Social
q7.6;q7.6.Conteúdo Lei.Conceituação e Objetivos do SUAS
q7.7;q7.7.Conteúdo Lei.Público destinatário do SUAS
q7.8;q7.8.Conteúdo Lei.Previsão do financiamento dos serviços
q7.9;q7.9.Conteúdo Lei.Previsão do financiamento dos programas e projetos
q7.10;q7.10.Conteúdo Lei.Previsão do financiamento dos benefícios socioassistenciais
q7.11;q7.11.Conteúdo Lei.Especificação do órgão da Administração Pública responsável pela coordenação da Política de Assistência Social
q7.12;q7.12.Conteúdo Lei.Previsão de prazo para regulamentação do funcionamento do Fundo de Assistência Social
q7.13;q7.13.Conteúdo Lei.Especificação e conceituação dos equipamentos públicos estatais CRAS e CREAS
q7.14;q7.14.Conteúdo Lei.Especificação e conceituação dos serviços socioassistenciais
q7.15;q7.15.Conteúdo Lei.Especificação e conceituação dos benefícios eventuais
q7.16;q7.16.Conteúdo Lei.Criação do Conselho Municipal de Assistência Social
q7.17;q7.17.Conteúdo Lei.Criação do Fundo Municipal de Assistência Social
q7.18;q7.18.Conteúdo Lei.Instituição do Plano Municipal de Assistência Social
q7.99;q7.99.Conteúdo Lei.Outros
q7.qual;q7.qual.Conteúdo Lei.Qual?
