id_acolhimento;IBGE7_sede;IBGE_sede;Região_sede;UF_sede;Município_sede;Municipio_2013_sede;area_sede;Pop_Total2010_sede;Porte_pop2010_sede;q9.IBGE;q9.IBGE7;q9.UF;q9.Município;q9.Municipio_2013;q9.area;q9.Pop_Total2010;q9.Pop_Urbana2010;q9.Pop_Rural2010;q9.Porte_pop2010
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150013;1500131;PA;Abel Figueiredo;Abel Figueiredo;614,25;6780;6034;746;Pequeno I
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150277;1502772;PA;Curionópolis;Curionópolis;2368,70;18288;12530;5758;Pequeno I
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150295;1502954;PA;Eldorado Dos Carajás;Eldorado dos Carajás;2956,71;31786;16578;15208;Pequeno II
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150370;1503705;PA;Itupiranga;Itupiranga;7880,00;51220;20490;30730;Médio
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150380;1503804;PA;Jacundá;Jacundá;2008,40;51360;45683;5677;Médio
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150497;1504976;PA;Nova Ipixuna;Nova Ipixuna;1600,32;14645;7726;6919;Pequeno I
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150549;1505494;PA;Palestina do Pará;Palestina do Pará;983,89;7475;4546;2929;Pequeno I
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150553;1505536;PA;Parauapebas;Parauapebas;7007,74;153908;138690;15218;Grande
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150715;1507151;PA;São Domingos do Araguaia;São Domingos do Araguaia;1392,33;23130;15254;7876;Pequeno II
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150745;1507458;PA;São Geraldo do Araguaia;São Geraldo do Araguaia;3269,54;25587;13590;11997;Pequeno II
1504203301363;1504208;150420;Região Norte;PA;Marabá;Marabá;15092,27;233669;Grande;150750;1507508;PA;São João do Araguaia;São João do Araguaia;1280,01;13155;2586;10569;Pequeno I
1600303302477;1600303;160030;Região Norte;AP;Macapá;Macapá;6407,12;398204;Grande;160030;1600303;AP;Macapá;Macapá;6407,12;398204;381214;16990;Grande
2507003308079;2507002;250700;Região Nordeste;PB;Itaporanga;Itaporanga;468,07;23192;Pequeno II;250020;2500205;PB;Aguiar;Aguiar;344,69;5530;2701;2829;Pequeno I
2516103307913;2516102;251610;Região Nordeste;PB;Soledade;Soledade;560,06;13739;Pequeno I;250135;2501351;PB;Assunção;Assunção;126,43;3522;2846;676;Pequeno I
2513903308081;2513901;251390;Região Nordeste;PB;São Bento;São Bento;248,20;30879;Pequeno II;250200;2502003;PB;Belém do Brejo do Cruz;Belém do Brejo do Cruz;603,04;7143;5260;1883;Pequeno I
2500703308083;2500700;250070;Região Nordeste;PB;São João do Rio do Peixe;São João do Rio do Peixe;474,43;18201;Pequeno I;250205;2502052;PB;Bernardino Batista;Bernardino Batista;50,63;3075;858;2217;Pequeno I
2507003308079;2507002;250700;Região Nordeste;PB;Itaporanga;Itaporanga;468,07;23192;Pequeno II;250210;2502102;PB;Boa Ventura;Boa Ventura;132,14;5751;3522;2229;Pequeno I
2516103307913;2516102;251610;Região Nordeste;PB;Soledade;Soledade;560,06;13739;Pequeno I;250215;2502151;PB;Boa Vista;Boa Vista;476,54;6227;3208;3019;Pequeno I
2507003308079;2507002;250700;Região Nordeste;PB;Itaporanga;Itaporanga;468,07;23192;Pequeno II;250260;2502607;PB;Igaracy;Igaracy;192,26;6156;4121;2035;Pequeno I
2513903308081;2513901;251390;Região Nordeste;PB;São Bento;São Bento;248,20;30879;Pequeno II;250280;2502805;PB;Brejo do Cruz;Brejo do Cruz;398,92;13123;9898;3225;Pequeno I
2513903308081;2513901;251390;Região Nordeste;PB;São Bento;São Bento;248,20;30879;Pequeno II;250290;2502904;PB;Brejo Dos Santos;Brejo dos Santos;93,85;6198;4634;1564;Pequeno I
2513903308081;2513901;251390;Região Nordeste;PB;São Bento;São Bento;248,20;30879;Pequeno II;250430;2504306;PB;Catolé do Rocha;Catolé do Rocha;552,10;28759;21323;7436;Pequeno II
2507003308079;2507002;250700;Região Nordeste;PB;Itaporanga;Itaporanga;468,07;23192;Pequeno II;250480;2504801;PB;Coremas;Coremas;379,49;15149;11419;3730;Pequeno I
2516103307913;2516102;251610;Região Nordeste;PB;Soledade;Soledade;560,06;13739;Pequeno I;250650;2506509;PB;Gurjão;Gurjão;343,21;3159;2128;1031;Pequeno I
2516103307913;2516102;251610;Região Nordeste;PB;Soledade;Soledade;560,06;13739;Pequeno I;250770;2507705;PB;Juazeirinho;Juazeirinho;467,53;16776;9124;7652;Pequeno I
2513903308081;2513901;251390;Região Nordeste;PB;São Bento;São Bento;248,20;30879;Pequeno II;250937;2509370;PB;Mato Grosso;Mato Grosso;83,52;2702;1201;1501;Pequeno I
2507003308079;2507002;250700;Região Nordeste;PB;Itaporanga;Itaporanga;468,07;23192;Pequeno II;251040;2510402;PB;Olho D´água;Olho d'Água;596,12;6931;3868;3063;Pequeno I
2516103307913;2516102;251610;Região Nordeste;PB;Soledade;Soledade;560,06;13739;Pequeno I;251050;2510501;PB;Olivedos;Olivedos;317,90;3627;1902;1725;Pequeno I
2516103307913;2516102;251610;Região Nordeste;PB;Soledade;Soledade;560,06;13739;Pequeno I;251200;2512002;PB;Pocinhos;Pocinhos;629,52;17032;9618;7414;Pequeno I
2500703308083;2500700;250070;Região Nordeste;PB;São João do Rio do Peixe;São João do Rio do Peixe;474,43;18201;Pequeno I;251203;2512036;PB;Poço Dantas;Poço Dantas;97,25;3751;977;2774;Pequeno I
