Variável;Descrição
id_acolhimento;id_acolhimento_Número Identificador da Unidade
IBGE7;Código IBGE com Dígito Verificador
IBGE;Código IBGE do Município
codigo_ibge;codigo_ibge
Região;Grande Região
UF;Unidade da Federação
uf_s;Unidade da Federação
Município;Nome do Município_Censo IBGE 2010
Municipio_2013;Nome do Município_atualizado 2014
area;Área Territorial Km2
Pop_Total2010;População Total - Censo IBGE 2010
Pop_Urbana2010;População Urbana - Censo IBGE 2010
Pop_Rural2010;População Rural - Censo IBGE 2010
Porte_pop2010;Porte Populacional SUAS - Censo IBGE 2010
ident_1;ident_1_Nome_Nome da unidade
ident_9;ident_9_Mun_Município
ident_10;ident_10_UF_UF
ident_11;ident_11_Email_E-mail
ident_12;ident_12_Tel_DDD - Telefone
ident_13;ident_13_Ramal
ident_14;ident_14_FAX
ident_15;ident_15_Data de Implantação da unidade
p_latitude;Latitude
p_longitude;Longitude
q1.1;q1.1_Público Atendido
q1.2;q1.2_Tipo de Unidade (Modalidade)
q1.3;"q1.3_Caso tenha marcado ""Outros"" no tipo de unidade (modalidade). Informe qual?"
q2;"q2_Esta Unidade é uma ""Casa Lar em Aldeia""?"
q2.1;q2.1_Quantidade de Casas Lares na Aldeia
q3;q3_Indique a natureza desta unidade:
q4;q4_Em caso de Entidade Não Governamental, indique o CNPJ:
q5_est;q5_Esta entidade possui convênio
q5.1;q5.1_Se a Entidade possui convênio/termo de parceria_Sim, com o Estado (governo estadual)
q5.2;q5.2_Se a Entidade possui convênio/termo de parceria_Sim, com o município no qual esta unidade se localiza (com a prefeitura na qual a sede da unidade se localiza
q5.3;q5.3_Se a Entidade possui convênio/termo de parceria_Sim, com outros municípios
q5.0;q5.0_Se a Entidade possui convênio/termo de parceria_Não
q5.99;q5.99_Se a Entidade possui convênio/termo de parceria_Não sabe informar
q6.1;q6.1_Conselho que possui inscrição/registro_Conselho de Assistência Social
q6.2;q6.2_Conselho que possui inscrição/registro_Conselho de Direitos da Criança e Adolescente
q6.3;q6.3_Conselho que possui inscrição/registro_Conselho dos Direitos do Idoso
q6.4;q6.4_Conselho que possui inscrição/registro_Conselho de Saúde_recodificação da q6.99.1
q6.0;q6.0_Conselho que possui inscrição/registro_Em nenhum Conselho
q6.99;q6.99_Conselho que possui inscrição/registro_Outros
q6.99.1;q6.99.1_Conselho que possui inscrição/registro_Outros.Qual?
q7;q7_Dados provenientes da gestão estadual ou municipal:
q8;q8_Em caso de unidades estaduais, esta unidade possui municípios vinculados conforme os parâmetros estabelecidos pela Resolução CIT nº 31/2013?
q10.1.1;q10.1.1_Provisão da estrutura física_ Estado
q10.1.2;q10.1.2_Provisão da estrutura física_Município Sede
